"Plot Title: HoopNet_2021_Ausable"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20606595, SEN S/N: 20606595)","Coupler Detached (LGR S/N: 20606595)","Coupler Attached (LGR S/N: 20606595)","Host Connected (LGR S/N: 20606595)","Stopped (LGR S/N: 20606595)","End Of File (LGR S/N: 20606595)"
1,09/27/21 08:00:00 PM,24.436,Logged,,,,
2,09/27/21 09:00:00 PM,21.342,,,,,
3,09/27/21 10:00:00 PM,21.270,,,,,
4,09/27/21 11:00:00 PM,21.223,,,,,
5,09/28/21 12:00:00 AM,21.294,,,,,
6,09/28/21 01:00:00 AM,21.318,,,,,
7,09/28/21 02:00:00 AM,21.342,,,,,
8,09/28/21 03:00:00 AM,21.342,,,,,
9,09/28/21 04:00:00 AM,21.342,,,,,
10,09/28/21 05:00:00 AM,21.318,,,,,
11,09/28/21 06:00:00 AM,21.294,,,,,
12,09/28/21 07:00:00 AM,21.270,,,,,
13,09/28/21 08:00:00 AM,21.246,,,,,
14,09/28/21 09:00:00 AM,21.246,,,,,
15,09/28/21 10:00:00 AM,21.223,,,,,
16,09/28/21 11:00:00 AM,21.342,,,,,
17,09/28/21 12:00:00 PM,15.294,,,,,
18,09/28/21 01:00:00 PM,15.676,,,,,
19,09/28/21 02:00:00 PM,17.391,,,,,
20,09/28/21 03:00:00 PM,18.152,,,,,
21,09/28/21 04:00:00 PM,14.146,,,,,
22,09/28/21 05:00:00 PM,15.557,,,,,
23,09/28/21 06:00:00 PM,15.819,,,,,
24,09/28/21 07:00:00 PM,15.629,,,,,
25,09/28/21 08:00:00 PM,15.390,,,,,
26,09/28/21 09:00:00 PM,15.103,,,,,
27,09/28/21 10:00:00 PM,14.864,,,,,
28,09/28/21 11:00:00 PM,14.721,,,,,
29,09/29/21 12:00:00 AM,14.601,,,,,
30,09/29/21 01:00:00 AM,14.481,,,,,
31,09/29/21 02:00:00 AM,14.385,,,,,
32,09/29/21 03:00:00 AM,14.337,,,,,
33,09/29/21 04:00:00 AM,14.337,,,,,
34,09/29/21 05:00:00 AM,14.361,,,,,
35,09/29/21 06:00:00 AM,14.409,,,,,
36,09/29/21 07:00:00 AM,14.409,,,,,
37,09/29/21 08:00:00 AM,14.337,,,,,
38,09/29/21 09:00:00 AM,14.266,,,,,
39,09/29/21 10:00:00 AM,14.170,,,,,
40,09/29/21 11:00:00 AM,14.026,,,,,
41,09/29/21 12:00:00 PM,13.906,,,,,
42,09/29/21 01:00:00 PM,13.906,,,,,
43,09/29/21 02:00:00 PM,14.122,,,,,
44,09/29/21 03:00:00 PM,14.314,,,,,
45,09/29/21 04:00:00 PM,14.361,,,,,
46,09/29/21 05:00:00 PM,14.290,,,,,
47,09/29/21 06:00:00 PM,14.290,,,,,
48,09/29/21 07:00:00 PM,14.314,,,,,
49,09/29/21 08:00:00 PM,14.194,,,,,
50,09/29/21 09:00:00 PM,14.002,,,,,
51,09/29/21 10:00:00 PM,13.834,,,,,
52,09/29/21 11:00:00 PM,13.738,,,,,
53,09/30/21 12:00:00 AM,13.714,,,,,
54,09/30/21 01:00:00 AM,13.666,,,,,
