"Plot Title: HoopNet_2021_Boquet"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10816964, SEN S/N: 10816964)","Coupler Detached (LGR S/N: 10816964)","Coupler Attached (LGR S/N: 10816964)","Host Connected (LGR S/N: 10816964)","Stopped (LGR S/N: 10816964)","End Of File (LGR S/N: 10816964)"
1,09/27/21 08:00:00 PM,25.089,Logged,,,,
2,09/27/21 09:00:00 PM,21.199,,,,,
3,09/27/21 10:00:00 PM,21.199,,,,,
4,09/27/21 11:00:00 PM,21.151,,,,,
5,09/28/21 12:00:00 AM,21.246,,,,,
6,09/28/21 01:00:00 AM,21.270,,,,,
7,09/28/21 02:00:00 AM,21.294,,,,,
8,09/28/21 03:00:00 AM,21.294,,,,,
9,09/28/21 04:00:00 AM,21.294,,,,,
10,09/28/21 05:00:00 AM,21.294,,,,,
11,09/28/21 06:00:00 AM,21.270,,,,,
12,09/28/21 07:00:00 AM,21.246,,,,,
13,09/28/21 08:00:00 AM,21.223,,,,,
14,09/28/21 09:00:00 AM,21.246,,,,,
15,09/28/21 10:00:00 AM,21.199,,,,,
16,09/28/21 11:00:00 AM,21.318,,,,,
17,09/28/21 12:00:00 PM,15.103,,,,,
18,09/28/21 01:00:00 PM,16.201,,,,,
19,09/28/21 02:00:00 PM,17.463,,,,,
20,09/28/21 03:00:00 PM,18.081,,,,,
21,09/28/21 04:00:00 PM,19.460,,,,,
22,09/28/21 05:00:00 PM,20.246,,,,,
23,09/28/21 06:00:00 PM,21.175,,,,,
24,09/28/21 07:00:00 PM,19.722,,,,,
25,09/28/21 08:00:00 PM,18.652,,,,,
26,09/28/21 09:00:00 PM,20.984,,,,,
27,09/28/21 10:00:00 PM,18.675,,,,,
28,09/28/21 11:00:00 PM,18.794,,,,,
29,09/29/21 12:00:00 AM,19.222,,,,,
30,09/29/21 01:00:00 AM,19.413,,,,,
31,09/29/21 02:00:00 AM,19.389,,,,,
32,09/29/21 03:00:00 AM,19.294,,,,,
33,09/29/21 04:00:00 AM,19.151,,,,,
34,09/29/21 05:00:00 AM,19.008,,,,,
35,09/29/21 06:00:00 AM,18.842,,,,,
36,09/29/21 07:00:00 AM,18.699,,,,,
37,09/29/21 08:00:00 AM,18.557,,,,,
38,09/29/21 09:00:00 AM,18.438,,,,,
39,09/29/21 10:00:00 AM,18.343,,,,,
40,09/29/21 11:00:00 AM,18.319,,,,,
41,09/29/21 12:00:00 PM,14.290,,,,,
42,09/29/21 01:00:00 PM,17.106,,,,,
43,09/29/21 02:00:00 PM,20.865,,,,,
44,09/29/21 03:00:00 PM,13.882,,,,,
45,09/29/21 04:00:00 PM,13.954,,,,,
46,09/29/21 05:00:00 PM,13.954,,,,,
47,09/29/21 06:00:00 PM,14.074,,,,,
48,09/29/21 07:00:00 PM,14.146,,,,,
49,09/29/21 08:00:00 PM,14.194,,,,,
50,09/29/21 09:00:00 PM,14.122,,,,,
51,09/29/21 10:00:00 PM,13.978,,,,,
52,09/29/21 11:00:00 PM,13.834,,,,,
53,09/30/21 12:00:00 AM,13.762,,,,,
54,09/30/21 01:00:00 AM,13.690,,,,,
55,09/30/21 02:00:00 AM,13.618,,,,,
56,09/30/21 03:00:00 AM,13.522,,,,,
57,09/30/21 04:00:00 AM,13.425,,,,,
58,09/30/21 05:00:00 AM,13.329,,,,,
59,09/30/21 06:00:00 AM,13.233,,,,,
60,09/30/21 07:00:00 AM,13.137,,,,,
61,09/30/21 08:00:00 AM,13.040,,,,,
62,09/30/21 09:00:00 AM,12.871,,,,,
63,09/30/21 10:00:00 AM,12.751,,,,,
64,09/30/21 11:00:00 AM,12.654,,,,,
65,09/30/21 12:00:00 PM,12.630,,,,,
66,09/30/21 01:00:00 PM,12.654,,,,,
67,09/30/21 02:00:00 PM,12.823,,,,,
68,09/30/21 03:00:00 PM,12.847,,,,,
69,09/30/21 04:00:00 PM,13.064,,,,,
70,09/30/21 05:00:00 PM,13.449,,,,,
71,09/30/21 06:00:00 PM,14.194,,,,,
