"Plot Title: BQ_Temp1_20210511"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20606599, SEN S/N: 20606599)","Coupler Detached (LGR S/N: 20606599)","Coupler Attached (LGR S/N: 20606599)","Host Connected (LGR S/N: 20606599)","Stopped (LGR S/N: 20606599)","End Of File (LGR S/N: 20606599)"
1,05/11/21 04:00:00 PM,11.127,Logged,,,,
2,05/11/21 04:10:00 PM,11.151,,,,,
3,05/11/21 04:20:00 PM,11.127,,,,,
4,05/11/21 04:30:00 PM,11.127,,,,,
5,05/11/21 04:40:00 PM,11.151,,,,,
6,05/11/21 04:50:00 PM,11.175,,,,,
7,05/11/21 05:00:00 PM,11.151,,,,,
8,05/11/21 05:10:00 PM,11.175,,,,,
9,05/11/21 05:20:00 PM,11.200,,,,,
10,05/11/21 05:30:00 PM,11.224,,,,,
11,05/11/21 05:40:00 PM,11.273,,,,,
12,05/11/21 05:50:00 PM,11.273,,,,,
13,05/11/21 06:00:00 PM,11.297,,,,,
14,05/11/21 06:10:00 PM,11.297,,,,,
15,05/11/21 06:20:00 PM,11.467,,,,,
16,05/11/21 06:30:00 PM,11.662,,,,,
17,05/11/21 06:40:00 PM,11.734,,,,,
18,05/11/21 06:50:00 PM,11.759,,,,,
19,05/11/21 07:00:00 PM,11.734,,,,,
20,05/11/21 07:10:00 PM,11.734,,,,,
21,05/11/21 07:20:00 PM,11.783,,,,,
22,05/11/21 07:30:00 PM,11.856,,,,,
23,05/11/21 07:40:00 PM,11.880,,,,,
24,05/11/21 07:50:00 PM,11.929,,,,,
25,05/11/21 08:00:00 PM,11.880,,,,,
26,05/11/21 08:10:00 PM,12.001,,,,,
27,05/11/21 08:20:00 PM,12.074,,,,,
28,05/11/21 08:30:00 PM,12.147,,,,,
29,05/11/21 08:40:00 PM,12.195,,,,,
30,05/11/21 08:50:00 PM,12.316,,,,,
31,05/11/21 09:00:00 PM,12.316,,,,,
32,05/11/21 09:10:00 PM,12.316,,,,,
33,05/11/21 09:20:00 PM,12.364,,,,,
34,05/11/21 09:30:00 PM,12.461,,,,,
35,05/11/21 09:40:00 PM,12.534,,,,,
36,05/11/21 09:50:00 PM,12.558,,,,,
37,05/11/21 10:00:00 PM,12.582,,,,,
38,05/11/21 10:10:00 PM,12.558,,,,,
39,05/11/21 10:20:00 PM,12.582,,,,,
40,05/11/21 10:30:00 PM,12.630,,,,,
41,05/11/21 10:40:00 PM,12.630,,,,,
42,05/11/21 10:50:00 PM,12.606,,,,,
43,05/11/21 11:00:00 PM,12.630,,,,,
44,05/11/21 11:10:00 PM,12.630,,,,,
45,05/11/21 11:20:00 PM,12.606,,,,,
46,05/11/21 11:30:00 PM,12.606,,,,,
47,05/11/21 11:40:00 PM,12.582,,,,,
48,05/11/21 11:50:00 PM,12.534,,,,,
49,05/12/21 12:00:00 AM,12.485,,,,,
50,05/12/21 12:10:00 AM,12.437,,,,,
51,05/12/21 12:20:00 AM,12.389,,,,,
52,05/12/21 12:30:00 AM,12.340,,,,,
53,05/12/21 12:40:00 AM,12.316,,,,,
54,05/12/21 12:50:00 AM,12.268,,,,,
55,05/12/21 01:00:00 AM,12.219,,,,,
56,05/12/21 01:10:00 AM,12.171,,,,,
57,05/12/21 01:20:00 AM,12.122,,,,,
58,05/12/21 01:30:00 AM,12.074,,,,,
59,05/12/21 01:40:00 AM,12.025,,,,,
60,05/12/21 01:50:00 AM,11.977,,,,,
61,05/12/21 02:00:00 AM,11.929,,,,,
62,05/12/21 02:10:00 AM,11.904,,,,,
63,05/12/21 02:20:00 AM,11.856,,,,,
64,05/12/21 02:30:00 AM,11.807,,,,,
65,05/12/21 02:40:00 AM,11.759,,,,,
66,05/12/21 02:50:00 AM,11.710,,,,,
67,05/12/21 03:00:00 AM,11.662,,,,,
68,05/12/21 03:10:00 AM,11.613,,,,,
69,05/12/21 03:20:00 AM,11.565,,,,,
70,05/12/21 03:30:00 AM,11.516,,,,,
71,05/12/21 03:40:00 AM,11.467,,,,,
72,05/12/21 03:50:00 AM,11.419,,,,,
73,05/12/21 04:00:00 AM,11.394,,,,,
74,05/12/21 04:10:00 AM,11.346,,,,,
75,05/12/21 04:20:00 AM,11.321,,,,,
76,05/12/21 04:30:00 AM,11.273,,,,,
77,05/12/21 04:40:00 AM,11.248,,,,,
78,05/12/21 04:50:00 AM,11.224,,,,,
79,05/12/21 05:00:00 AM,11.175,,,,,
80,05/12/21 05:10:00 AM,11.151,,,,,
81,05/12/21 05:20:00 AM,11.127,,,,,
82,05/12/21 05:30:00 AM,11.102,,,,,
83,05/12/21 05:40:00 AM,11.078,,,,,
84,05/12/21 05:50:00 AM,11.029,,,,,
85,05/12/21 06:00:00 AM,11.005,,,,,
86,05/12/21 06:10:00 AM,11.005,,,,,
87,05/12/21 06:20:00 AM,10.980,,,,,
88,05/12/21 06:30:00 AM,10.956,,,,,
89,05/12/21 06:40:00 AM,10.932,,,,,
90,05/12/21 06:50:00 AM,10.907,,,,,
91,05/12/21 07:00:00 AM,10.883,,,,,
92,05/12/21 07:10:00 AM,10.858,,,,,
93,05/12/21 07:20:00 AM,10.834,,,,,
94,05/12/21 07:30:00 AM,10.810,,,,,
95,05/12/21 07:40:00 AM,10.810,,,,,
96,05/12/21 07:50:00 AM,10.785,,,,,
97,05/12/21 08:00:00 AM,10.761,,,,,
98,05/12/21 08:10:00 AM,10.736,,,,,
99,05/12/21 08:20:00 AM,10.712,,,,,
100,05/12/21 08:30:00 AM,10.687,,,,,
101,05/12/21 08:40:00 AM,10.663,,,,,
102,05/12/21 08:50:00 AM,10.663,,,,,
103,05/12/21 09:00:00 AM,10.638,,,,,
104,05/12/21 09:10:00 AM,10.638,,,,,
105,05/12/21 09:20:00 AM,10.614,,,,,
106,05/12/21 09:30:00 AM,10.590,,,,,
107,05/12/21 09:40:00 AM,10.590,,,,,
108,05/12/21 09:50:00 AM,10.565,,,,,
109,05/12/21 10:00:00 AM,10.565,,,,,
110,05/12/21 10:10:00 AM,10.541,,,,,
111,05/12/21 10:20:00 AM,10.541,,,,,
112,05/12/21 10:30:00 AM,10.516,,,,,
113,05/12/21 10:40:00 AM,10.516,,,,,
114,05/12/21 10:50:00 AM,10.516,,,,,
115,05/12/21 11:00:00 AM,10.516,,,,,
116,05/12/21 11:10:00 AM,10.516,,,,,
117,05/12/21 11:20:00 AM,10.541,,,,,
118,05/12/21 11:30:00 AM,10.565,,,,,
119,05/12/21 11:40:00 AM,10.565,,,,,
120,05/12/21 11:50:00 AM,10.565,,,,,
121,05/12/21 12:00:00 PM,10.590,,,,,
122,05/12/21 12:10:00 PM,10.614,,,,,
123,05/12/21 12:20:00 PM,10.638,,,,,
124,05/12/21 12:30:00 PM,10.614,,,,,
125,05/12/21 12:40:00 PM,10.614,,,,,
126,05/12/21 12:50:00 PM,10.614,,,,,
127,05/12/21 01:00:00 PM,10.663,,,,,
128,05/12/21 01:10:00 PM,10.712,,,,,
129,05/12/21 01:20:00 PM,10.761,,,,,
130,05/12/21 01:30:00 PM,10.883,,,,,
131,05/12/21 01:40:00 PM,10.980,,,,,
132,05/12/21 01:50:00 PM,11.078,,,,,
133,05/12/21 02:00:00 PM,11.175,,,,,
134,05/12/21 02:10:00 PM,11.248,,,,,
135,05/12/21 02:20:00 PM,11.346,,,,,
136,05/12/21 02:30:00 PM,11.443,,,,,
137,05/12/21 02:40:00 PM,11.589,,,,,
138,05/12/21 02:50:00 PM,11.589,,,,,
139,05/12/21 03:00:00 PM,11.540,,,,,
140,05/12/21 03:10:00 PM,11.565,,,,,
141,05/12/21 03:20:00 PM,11.540,,,,,
142,05/12/21 03:30:00 PM,11.565,,,,,
143,05/12/21 03:40:00 PM,11.613,,,,,
144,05/12/21 03:50:00 PM,11.734,,,,,
145,05/12/21 04:00:00 PM,12.001,,,,,
146,05/12/21 04:10:00 PM,12.098,,,,,
147,05/12/21 04:20:00 PM,12.074,,,,,
148,05/12/21 04:30:00 PM,12.050,,,,,
149,05/12/21 04:40:00 PM,12.025,,,,,
150,05/12/21 04:50:00 PM,12.001,,,,,
