"Plot Title: NBBoquet211207"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10816964, SEN S/N: 10816964)","Coupler Detached (LGR S/N: 10816964)","Coupler Attached (LGR S/N: 10816964)","Host Connected (LGR S/N: 10816964)","Stopped (LGR S/N: 10816964)","End Of File (LGR S/N: 10816964)"
1,12/07/21 01:48:10 PM,21.652,,,,,
2,12/07/21 01:48:14 PM,,Logged,,,,
3,12/07/21 02:18:10 PM,17.296,,,,,
4,12/07/21 02:48:10 PM,18.343,,,,,
5,12/07/21 03:18:10 PM,18.081,,,,,
6,12/07/21 03:48:10 PM,18.461,,,,,
7,12/07/21 04:18:10 PM,1.208,,,,,
8,12/07/21 04:48:10 PM,1.071,,,,,
9,12/07/21 05:18:10 PM,1.126,,,,,
10,12/07/21 05:48:10 PM,1.180,,,,,
11,12/07/21 06:18:10 PM,1.208,,,,,
12,12/07/21 06:48:10 PM,1.153,,,,,
13,12/07/21 07:18:10 PM,1.099,,,,,
14,12/07/21 07:48:10 PM,1.071,,,,,
15,12/07/21 08:18:10 PM,1.017,,,,,
16,12/07/21 08:48:10 PM,0.989,,,,,
17,12/07/21 09:18:10 PM,0.962,,,,,
18,12/07/21 09:48:10 PM,0.880,,,,,
19,12/07/21 10:18:10 PM,0.880,,,,,
20,12/07/21 10:48:10 PM,0.797,,,,,
21,12/07/21 11:18:10 PM,0.742,,,,,
22,12/07/21 11:48:10 PM,0.742,,,,,
23,12/08/21 12:18:10 AM,0.715,,,,,
24,12/08/21 12:48:10 AM,0.742,,,,,
25,12/08/21 01:18:10 AM,0.715,,,,,
26,12/08/21 01:48:10 AM,0.687,,,,,
27,12/08/21 02:18:10 AM,0.660,,,,,
28,12/08/21 02:48:10 AM,0.632,,,,,
29,12/08/21 03:18:10 AM,0.632,,,,,
30,12/08/21 03:48:10 AM,0.605,,,,,
31,12/08/21 04:18:10 AM,0.577,,,,,
32,12/08/21 04:48:10 AM,0.550,,,,,
33,12/08/21 05:18:10 AM,0.522,,,,,
34,12/08/21 05:48:10 AM,0.495,,,,,
35,12/08/21 06:18:10 AM,0.467,,,,,
36,12/08/21 06:48:10 AM,0.439,,,,,
37,12/08/21 07:18:10 AM,0.439,,,,,
38,12/08/21 07:48:10 AM,0.412,,,,,
39,12/08/21 08:18:10 AM,0.412,,,,,
40,12/08/21 08:48:10 AM,0.384,,,,,
41,12/08/21 09:18:10 AM,0.384,,,,,
42,12/08/21 09:48:10 AM,0.356,,,,,
43,12/08/21 10:18:10 AM,0.356,,,,,
44,12/08/21 10:48:10 AM,0.329,,,,,
45,12/08/21 11:18:10 AM,0.356,,,,,
46,12/08/21 11:48:10 AM,0.301,,,,,
47,12/08/21 12:18:10 PM,0.301,,,,,
48,12/08/21 12:48:10 PM,0.273,,,,,
49,12/08/21 01:18:10 PM,0.273,,,,,
50,12/08/21 01:48:10 PM,0.246,,,,,
51,12/08/21 02:18:10 PM,0.218,,,,,
52,12/08/21 02:48:10 PM,0.246,,,,,
53,12/08/21 03:18:10 PM,0.301,,,,,
54,12/08/21 03:48:10 PM,0.412,,,,,
55,12/08/21 04:18:10 PM,0.467,,,,,
56,12/08/21 04:48:10 PM,0.550,,,,,
57,12/08/21 05:18:10 PM,0.632,,,,,
58,12/08/21 05:48:10 PM,0.715,,,,,
59,12/08/21 06:18:10 PM,0.742,,,,,
60,12/08/21 06:48:10 PM,0.742,,,,,
61,12/08/21 07:18:10 PM,0.742,,,,,
62,12/08/21 07:48:10 PM,0.742,,,,,
63,12/08/21 08:18:10 PM,0.742,,,,,
64,12/08/21 08:48:10 PM,0.687,,,,,
65,12/08/21 09:18:10 PM,0.660,,,,,
66,12/08/21 09:48:10 PM,0.605,,,,,
67,12/08/21 10:18:10 PM,0.577,,,,,
68,12/08/21 10:48:10 PM,0.522,,,,,
69,12/08/21 11:18:10 PM,0.522,,,,,
70,12/08/21 11:48:10 PM,0.495,,,,,
71,12/09/21 12:18:10 AM,0.467,,,,,
72,12/09/21 12:48:10 AM,0.467,,,,,
73,12/09/21 01:18:10 AM,0.439,,,,,
74,12/09/21 01:48:10 AM,0.439,,,,,
75,12/09/21 02:18:10 AM,0.412,,,,,
76,12/09/21 02:48:10 AM,0.412,,,,,
77,12/09/21 03:18:10 AM,0.384,,,,,
78,12/09/21 03:48:10 AM,0.384,,,,,
79,12/09/21 04:18:10 AM,0.384,,,,,
80,12/09/21 04:48:10 AM,0.384,,,,,
81,12/09/21 05:18:10 AM,0.384,,,,,
82,12/09/21 05:48:10 AM,0.384,,,,,
83,12/09/21 06:18:10 AM,0.384,,,,,
84,12/09/21 06:48:10 AM,0.384,,,,,
85,12/09/21 07:18:10 AM,0.356,,,,,
86,12/09/21 07:48:10 AM,0.356,,,,,
87,12/09/21 08:18:10 AM,0.356,,,,,
88,12/09/21 08:48:10 AM,0.356,,,,,
89,12/09/21 09:18:10 AM,0.356,,,,,
90,12/09/21 09:48:10 AM,0.356,,,,,
91,12/09/21 10:18:10 AM,0.329,,,,,
92,12/09/21 10:48:10 AM,0.329,,,,,
93,12/09/21 11:18:10 AM,0.301,,,,,
94,12/09/21 11:48:10 AM,0.301,,,,,
95,12/09/21 12:18:10 PM,0.301,,,,,
