"Plot Title: 20571732_20210812_Boquet"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20571732, SEN S/N: 20571732)","Coupler Detached (LGR S/N: 20571732)","Coupler Attached (LGR S/N: 20571732)","Host Connected (LGR S/N: 20571732)","Stopped (LGR S/N: 20571732)","End Of File (LGR S/N: 20571732)"
1,08/12/21 11:56:28 AM,26.182,,,,,
2,08/12/21 11:56:34 AM,,Logged,,,,
3,08/12/21 12:56:28 PM,28.072,,,,,
4,08/12/21 01:56:28 PM,29.765,,,,,
5,08/12/21 02:56:28 PM,30.697,,,,,
6,08/12/21 03:56:28 PM,24.460,,,,,
7,08/12/21 04:56:28 PM,24.339,,,,,
8,08/12/21 05:56:28 PM,24.412,,,,,
9,08/12/21 06:56:28 PM,24.436,,,,,
10,08/12/21 07:56:28 PM,24.726,,,,,
11,08/12/21 08:56:28 PM,24.702,,,,,
12,08/12/21 09:56:28 PM,24.581,,,,,
13,08/12/21 10:56:28 PM,24.484,,,,,
14,08/12/21 11:56:28 PM,24.243,,,,,
15,08/13/21 12:56:28 AM,23.978,,,,,
16,08/13/21 01:56:28 AM,23.689,,,,,
17,08/13/21 02:56:28 AM,23.448,,,,,
18,08/13/21 03:56:28 AM,23.160,,,,,
19,08/13/21 04:56:28 AM,22.872,,,,,
20,08/13/21 05:56:28 AM,22.609,,,,,
21,08/13/21 06:56:28 AM,22.345,,,,,
22,08/13/21 07:56:28 AM,22.082,,,,,
23,08/13/21 08:56:28 AM,21.843,,,,,
24,08/13/21 09:56:28 AM,21.581,,,,,
25,08/13/21 10:56:28 AM,21.413,,,,,
26,08/13/21 11:56:28 AM,21.342,,,,,
27,08/13/21 12:56:28 PM,21.485,,,,,
28,08/13/21 01:56:28 PM,21.700,,,,,
29,08/13/21 02:56:28 PM,22.130,,,,,
30,08/13/21 03:56:28 PM,22.920,,,,,
31,08/13/21 04:56:28 PM,23.905,,,,,
32,08/13/21 05:56:28 PM,25.016,,,,,
33,08/13/21 06:56:28 PM,25.817,,,,,
34,08/13/21 07:56:28 PM,26.231,,,,,
35,08/13/21 08:56:28 PM,25.793,,,,,
36,08/13/21 09:56:28 PM,25.574,,,,,
37,08/13/21 10:56:28 PM,25.501,,,,,
38,08/13/21 11:56:28 PM,25.258,,,,,
39,08/14/21 12:56:28 AM,24.944,,,,,
40,08/14/21 01:56:28 AM,24.677,,,,,
41,08/14/21 02:56:28 AM,24.436,,,,,
42,08/14/21 03:56:28 AM,24.195,,,,,
43,08/14/21 04:56:28 AM,23.954,,,,,
44,08/14/21 05:56:28 AM,23.737,,,,,
45,08/14/21 06:56:28 AM,23.569,,,,,
46,08/14/21 07:56:28 AM,23.376,,,,,
47,08/14/21 08:56:28 AM,23.256,,,,,
48,08/14/21 09:56:28 AM,23.112,,,,,
49,08/14/21 10:56:28 AM,22.992,,,,,
50,08/14/21 11:56:28 AM,22.896,,,,,
51,08/14/21 12:56:28 PM,22.753,,,,,
52,08/14/21 01:56:28 PM,22.729,,,,,
53,08/14/21 02:56:28 PM,22.944,,,,,
54,08/14/21 03:56:28 PM,22.992,,,,,
55,08/14/21 04:56:28 PM,23.208,,,,,
56,08/14/21 05:56:28 PM,23.857,,,,,
57,08/14/21 06:56:28 PM,24.388,,,,,
58,08/14/21 07:56:28 PM,24.750,,,,,
59,08/14/21 08:56:28 PM,24.436,,,,,
60,08/14/21 09:56:28 PM,24.074,,,,,
61,08/14/21 10:56:28 PM,23.785,,,,,
62,08/14/21 11:56:28 PM,23.376,,,,,
63,08/15/21 12:56:28 AM,22.968,,,,,
64,08/15/21 01:56:28 AM,22.537,,,,,
