"Plot Title: ReberCementary_June4_2019"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20016106, SEN S/N: 20016106)","Coupler Detached (LGR S/N: 20016106)","Coupler Attached (LGR S/N: 20016106)","Host Connected (LGR S/N: 20016106)","Stopped (LGR S/N: 20016106)","End Of File (LGR S/N: 20016106)"
1,06/04/19 03:00:00 PM,12.219,Logged,,,,
2,06/04/19 04:00:00 PM,12.316,,,,,
3,06/04/19 05:00:00 PM,12.703,,,,,
4,06/04/19 06:00:00 PM,13.161,,,,,
5,06/04/19 07:00:00 PM,13.449,,,,,
6,06/04/19 08:00:00 PM,13.570,,,,,
7,06/04/19 09:00:00 PM,13.642,,,,,
8,06/04/19 10:00:00 PM,13.570,,,,,
9,06/04/19 11:00:00 PM,13.449,,,,,
10,06/05/19 12:00:00 AM,13.281,,,,,
11,06/05/19 01:00:00 AM,13.088,,,,,
12,06/05/19 02:00:00 AM,12.896,,,,,
13,06/05/19 03:00:00 AM,12.703,,,,,
14,06/05/19 04:00:00 AM,12.558,,,,,
15,06/05/19 05:00:00 AM,12.437,,,,,
16,06/05/19 06:00:00 AM,12.340,,,,,
17,06/05/19 07:00:00 AM,12.268,,,,,
18,06/05/19 08:00:00 AM,12.243,,,,,
19,06/05/19 09:00:00 AM,12.195,,,,,
20,06/05/19 10:00:00 AM,12.171,,,,,
21,06/05/19 11:00:00 AM,12.147,,,,,
22,06/05/19 12:00:00 PM,12.147,,,,,
23,06/05/19 01:00:00 PM,12.171,,,,,
24,06/05/19 02:00:00 PM,12.195,,,,,
25,06/05/19 03:00:00 PM,12.316,,,,,
26,06/05/19 04:00:00 PM,12.413,,,,,
27,06/05/19 05:00:00 PM,12.823,,,,,
28,06/05/19 06:00:00 PM,13.064,,,,,
29,06/05/19 07:00:00 PM,13.377,,,,,
30,06/05/19 08:00:00 PM,13.714,,,,,
31,06/05/19 09:00:00 PM,13.858,,,,,
32,06/05/19 10:00:00 PM,13.906,,,,,
33,06/05/19 11:00:00 PM,13.906,,,,,
34,06/06/19 12:00:00 AM,13.810,,,,,
35,06/06/19 01:00:00 AM,13.714,,,,,
36,06/06/19 02:00:00 AM,13.618,,,,,
37,06/06/19 03:00:00 AM,13.522,,,,,
38,06/06/19 04:00:00 AM,13.401,,,,,
39,06/06/19 05:00:00 AM,13.353,,,,,
40,06/06/19 06:00:00 AM,13.329,,,,,
41,06/06/19 07:00:00 AM,13.353,,,,,
42,06/06/19 08:00:00 AM,13.377,,,,,
43,06/06/19 09:00:00 AM,13.377,,,,,
44,06/06/19 10:00:00 AM,13.425,,,,,
45,06/06/19 11:00:00 AM,13.449,,,,,
46,06/06/19 12:00:00 PM,13.546,,,,,
47,06/06/19 01:00:00 PM,13.690,,,,,
48,06/06/19 02:00:00 PM,13.906,,,,,
49,06/06/19 03:00:00 PM,14.290,,,,,
50,06/06/19 04:00:00 PM,14.792,,,,,
51,06/06/19 05:00:00 PM,15.294,,,,,
52,06/06/19 06:00:00 PM,15.867,,,,,
53,06/06/19 07:00:00 PM,16.392,,,,,
54,06/06/19 08:00:00 PM,16.749,,,,,
55,06/06/19 09:00:00 PM,16.868,,,,,
56,06/06/19 10:00:00 PM,16.820,,,,,
57,06/06/19 11:00:00 PM,16.677,,,,,
58,06/07/19 12:00:00 AM,16.534,,,,,
59,06/07/19 01:00:00 AM,16.368,,,,,
60,06/07/19 02:00:00 AM,16.201,,,,,
61,06/07/19 03:00:00 AM,16.058,,,,,
62,06/07/19 04:00:00 AM,15.915,,,,,
63,06/07/19 05:00:00 AM,15.748,,,,,
64,06/07/19 06:00:00 AM,15.533,,,,,
65,06/07/19 07:00:00 AM,15.366,,,,,
66,06/07/19 08:00:00 AM,15.151,,,,,
67,06/07/19 09:00:00 AM,14.888,,,,,
68,06/07/19 10:00:00 AM,14.673,,,,,
69,06/07/19 11:00:00 AM,14.433,,,,,
70,06/07/19 12:00:00 PM,14.314,,,,,
71,06/07/19 01:00:00 PM,14.385,,,,,
72,06/07/19 02:00:00 PM,14.649,,,,,
73,06/07/19 03:00:00 PM,15.127,,,,,
74,06/07/19 04:00:00 PM,15.629,,,,,
75,06/07/19 05:00:00 PM,16.153,,,,,
76,06/07/19 06:00:00 PM,16.701,,,,,
77,06/07/19 07:00:00 PM,16.963,,,,,
78,06/07/19 08:00:00 PM,17.153,,,,,
79,06/07/19 09:00:00 PM,17.320,,,,,
80,06/07/19 10:00:00 PM,17.534,,,,,
81,06/07/19 11:00:00 PM,17.439,,,,,
82,06/08/19 12:00:00 AM,17.201,,,,,
83,06/08/19 01:00:00 AM,16.915,,,,,
84,06/08/19 02:00:00 AM,16.606,,,,,
85,06/08/19 03:00:00 AM,16.320,,,,,
86,06/08/19 04:00:00 AM,16.082,,,,,
87,06/08/19 05:00:00 AM,15.867,,,,,
88,06/08/19 06:00:00 AM,15.652,,,,,
89,06/08/19 07:00:00 AM,15.438,,,,,
90,06/08/19 08:00:00 AM,15.223,,,,,
91,06/08/19 09:00:00 AM,15.031,,,,,
92,06/08/19 10:00:00 AM,14.864,,,,,
93,06/08/19 11:00:00 AM,14.673,,,,,
94,06/08/19 12:00:00 PM,14.625,,,,,
95,06/08/19 01:00:00 PM,14.721,,,,,
96,06/08/19 02:00:00 PM,15.055,,,,,
97,06/08/19 03:00:00 PM,15.533,,,,,
98,06/08/19 04:00:00 PM,16.082,,,,,
99,06/08/19 05:00:00 PM,16.725,,,,,
100,06/08/19 06:00:00 PM,17.344,,,,,
101,06/08/19 07:00:00 PM,17.915,,,,,
102,06/08/19 08:00:00 PM,18.319,,,,,
103,06/08/19 09:00:00 PM,18.509,,,,,
104,06/08/19 10:00:00 PM,18.461,,,,,
105,06/08/19 11:00:00 PM,18.176,,,,,
106,06/09/19 12:00:00 AM,17.772,,,,,
107,06/09/19 01:00:00 AM,17.320,,,,,
108,06/09/19 02:00:00 AM,16.844,,,,,
109,06/09/19 03:00:00 AM,16.392,,,,,
110,06/09/19 04:00:00 AM,16.010,,,,,
111,06/09/19 05:00:00 AM,15.700,,,,,
112,06/09/19 06:00:00 AM,15.438,,,,,
113,06/09/19 07:00:00 AM,15.199,,,,,
114,06/09/19 08:00:00 AM,14.912,,,,,
115,06/09/19 09:00:00 AM,14.649,,,,,
116,06/09/19 10:00:00 AM,14.433,,,,,
117,06/09/19 11:00:00 AM,14.314,,,,,
118,06/09/19 12:00:00 PM,14.290,,,,,
119,06/09/19 01:00:00 PM,14.481,,,,,
120,06/09/19 02:00:00 PM,14.936,,,,,
121,06/09/19 03:00:00 PM,15.557,,,,,
122,06/09/19 04:00:00 PM,16.272,,,,,
123,06/09/19 05:00:00 PM,16.987,,,,,
124,06/09/19 06:00:00 PM,17.677,,,,,
125,06/09/19 07:00:00 PM,18.343,,,,,
126,06/09/19 08:00:00 PM,18.842,,,,,
127,06/09/19 09:00:00 PM,19.175,,,,,
128,06/09/19 10:00:00 PM,19.246,,,,,
129,06/09/19 11:00:00 PM,19.056,,,,,
130,06/10/19 12:00:00 AM,18.699,,,,,
131,06/10/19 01:00:00 AM,18.319,,,,,
132,06/10/19 02:00:00 AM,17.891,,,,,
133,06/10/19 03:00:00 AM,17.439,,,,,
134,06/10/19 04:00:00 AM,17.058,,,,,
135,06/10/19 05:00:00 AM,16.725,,,,,
136,06/10/19 06:00:00 AM,16.463,,,,,
137,06/10/19 07:00:00 AM,16.225,,,,,
138,06/10/19 08:00:00 AM,16.010,,,,,
139,06/10/19 09:00:00 AM,15.772,,,,,
140,06/10/19 10:00:00 AM,15.581,,,,,
141,06/10/19 11:00:00 AM,15.438,,,,,
142,06/10/19 12:00:00 PM,15.485,,,,,
143,06/10/19 01:00:00 PM,15.700,,,,,
144,06/10/19 02:00:00 PM,15.986,,,,,
145,06/10/19 03:00:00 PM,16.392,,,,,
146,06/10/19 04:00:00 PM,16.915,,,,,
147,06/10/19 05:00:00 PM,17.558,,,,,
148,06/10/19 06:00:00 PM,18.152,,,,,
149,06/10/19 07:00:00 PM,18.533,,,,,
150,06/10/19 08:00:00 PM,18.723,,,,,
151,06/10/19 09:00:00 PM,18.937,,,,,
152,06/10/19 10:00:00 PM,19.056,,,,,
153,06/10/19 11:00:00 PM,18.985,,,,,
154,06/11/19 12:00:00 AM,18.794,,,,,
155,06/11/19 01:00:00 AM,18.557,,,,,
156,06/11/19 02:00:00 AM,18.271,,,,,
157,06/11/19 03:00:00 AM,17.986,,,,,
158,06/11/19 04:00:00 AM,17.724,,,,,
159,06/11/19 05:00:00 AM,17.486,,,,,
160,06/11/19 06:00:00 AM,17.249,,,,,
161,06/11/19 07:00:00 AM,17.082,,,,,
162,06/11/19 08:00:00 AM,16.939,,,,,
163,06/11/19 09:00:00 AM,16.749,,,,,
164,06/11/19 10:00:00 AM,16.630,,,,,
165,06/11/19 11:00:00 AM,16.558,,,,,
166,06/11/19 12:00:00 PM,16.558,,,,,
167,06/11/19 01:00:00 PM,16.582,,,,,
168,06/11/19 02:00:00 PM,16.701,,,,,
169,06/11/19 03:00:00 PM,16.892,,,,,
170,06/11/19 04:00:00 PM,16.987,,,,,
171,06/11/19 05:00:00 PM,17.320,,,,,
172,06/11/19 06:00:00 PM,17.891,,,,,
173,06/11/19 07:00:00 PM,18.604,,,,,
174,06/11/19 08:00:00 PM,19.127,,,,,
175,06/11/19 09:00:00 PM,19.365,,,,,
176,06/11/19 10:00:00 PM,19.222,,,,,
177,06/11/19 11:00:00 PM,18.818,,,,,
178,06/12/19 12:00:00 AM,18.319,,,,,
179,06/12/19 01:00:00 AM,17.796,,,,,
180,06/12/19 02:00:00 AM,17.368,,,,,
181,06/12/19 03:00:00 AM,16.963,,,,,
182,06/12/19 04:00:00 AM,16.606,,,,,
183,06/12/19 05:00:00 AM,16.296,,,,,
184,06/12/19 06:00:00 AM,16.010,,,,,
185,06/12/19 07:00:00 AM,15.724,,,,,
186,06/12/19 08:00:00 AM,15.390,,,,,
187,06/12/19 09:00:00 AM,15.055,,,,,
188,06/12/19 10:00:00 AM,14.768,,,,,
189,06/12/19 11:00:00 AM,14.577,,,,,
190,06/12/19 12:00:00 PM,14.481,,,,,
191,06/12/19 01:00:00 PM,14.625,,,,,
192,06/12/19 02:00:00 PM,14.960,,,,,
193,06/12/19 03:00:00 PM,15.533,,,,,
194,06/12/19 04:00:00 PM,16.225,,,,,
195,06/12/19 05:00:00 PM,16.892,,,,,
196,06/12/19 06:00:00 PM,17.534,,,,,
197,06/12/19 07:00:00 PM,18.057,,,,,
198,06/12/19 08:00:00 PM,18.438,,,,,
199,06/12/19 09:00:00 PM,18.628,,,,,
200,06/12/19 10:00:00 PM,18.628,,,,,
201,06/12/19 11:00:00 PM,18.343,,,,,
202,06/13/19 12:00:00 AM,18.033,,,,,
203,06/13/19 01:00:00 AM,17.629,,,,,
204,06/13/19 02:00:00 AM,17.225,,,,,
205,06/13/19 03:00:00 AM,16.820,,,,,
206,06/13/19 04:00:00 AM,16.463,,,,,
207,06/13/19 05:00:00 AM,16.177,,,,,
208,06/13/19 06:00:00 AM,15.963,,,,,
209,06/13/19 07:00:00 AM,15.772,,,,,
210,06/13/19 08:00:00 AM,15.605,,,,,
211,06/13/19 09:00:00 AM,15.438,,,,,
212,06/13/19 10:00:00 AM,15.318,,,,,
213,06/13/19 11:00:00 AM,15.270,,,,,
214,06/13/19 12:00:00 PM,15.294,,,,,
215,06/13/19 01:00:00 PM,15.342,,,,,
216,06/13/19 02:00:00 PM,15.390,,,,,
217,06/13/19 03:00:00 PM,15.390,,,,,
218,06/13/19 04:00:00 PM,15.485,,,,,
219,06/13/19 05:00:00 PM,15.509,,,,,
220,06/13/19 06:00:00 PM,15.676,,,,,
221,06/13/19 07:00:00 PM,15.963,,,,,
222,06/13/19 08:00:00 PM,15.939,,,,,
223,06/13/19 09:00:00 PM,15.939,,,,,
224,06/13/19 10:00:00 PM,15.867,,,,,
225,06/13/19 11:00:00 PM,15.748,,,,,
226,06/14/19 12:00:00 AM,15.581,,,,,
227,06/14/19 01:00:00 AM,15.414,,,,,
228,06/14/19 02:00:00 AM,15.223,,,,,
229,06/14/19 03:00:00 AM,15.055,,,,,
230,06/14/19 04:00:00 AM,14.816,,,,,
231,06/14/19 05:00:00 AM,14.577,,,,,
232,06/14/19 06:00:00 AM,14.361,,,,,
233,06/14/19 07:00:00 AM,14.170,,,,,
234,06/14/19 08:00:00 AM,14.002,,,,,
235,06/14/19 09:00:00 AM,13.810,,,,,
236,06/14/19 10:00:00 AM,13.690,,,,,
237,06/14/19 11:00:00 AM,13.714,,,,,
238,06/14/19 12:00:00 PM,13.810,,,,,
239,06/14/19 01:00:00 PM,14.050,,,,,
240,06/14/19 02:00:00 PM,14.337,,,,,
241,06/14/19 03:00:00 PM,14.553,,,,,
242,06/14/19 04:00:00 PM,14.649,,,,,
243,06/14/19 05:00:00 PM,14.960,,,,,
244,06/14/19 06:00:00 PM,15.175,,,,,
245,06/14/19 07:00:00 PM,15.223,,,,,
246,06/14/19 08:00:00 PM,15.629,,,,,
247,06/14/19 09:00:00 PM,15.700,,,,,
248,06/14/19 10:00:00 PM,15.724,,,,,
249,06/14/19 11:00:00 PM,15.438,,,,,
250,06/15/19 12:00:00 AM,15.294,,,,,
251,06/15/19 01:00:00 AM,15.151,,,,,
252,06/15/19 02:00:00 AM,15.008,,,,,
253,06/15/19 03:00:00 AM,14.745,,,,,
254,06/15/19 04:00:00 AM,14.481,,,,,
255,06/15/19 05:00:00 AM,14.218,,,,,
256,06/15/19 06:00:00 AM,14.002,,,,,
257,06/15/19 07:00:00 AM,13.834,,,,,
258,06/15/19 08:00:00 AM,13.690,,,,,
259,06/15/19 09:00:00 AM,13.570,,,,,
260,06/15/19 10:00:00 AM,13.497,,,,,
261,06/15/19 11:00:00 AM,13.473,,,,,
262,06/15/19 12:00:00 PM,13.546,,,,,
263,06/15/19 01:00:00 PM,13.762,,,,,
264,06/15/19 02:00:00 PM,14.098,,,,,
265,06/15/19 03:00:00 PM,14.577,,,,,
266,06/15/19 04:00:00 PM,15.318,,,,,
267,06/15/19 05:00:00 PM,16.296,,,,,
268,06/15/19 06:00:00 PM,17.201,,,,,
269,06/15/19 07:00:00 PM,17.772,,,,,
270,06/15/19 08:00:00 PM,17.629,,,,,
271,06/15/19 09:00:00 PM,17.510,,,,,
272,06/15/19 10:00:00 PM,17.249,,,,,
273,06/15/19 11:00:00 PM,17.011,,,,,
274,06/16/19 12:00:00 AM,16.796,,,,,
275,06/16/19 01:00:00 AM,16.534,,,,,
276,06/16/19 02:00:00 AM,16.344,,,,,
277,06/16/19 03:00:00 AM,16.153,,,,,
278,06/16/19 04:00:00 AM,15.939,,,,,
279,06/16/19 05:00:00 AM,15.748,,,,,
280,06/16/19 06:00:00 AM,15.581,,,,,
281,06/16/19 07:00:00 AM,15.438,,,,,
282,06/16/19 08:00:00 AM,15.270,,,,,
283,06/16/19 09:00:00 AM,15.103,,,,,
284,06/16/19 10:00:00 AM,15.031,,,,,
285,06/16/19 11:00:00 AM,14.984,,,,,
286,06/16/19 12:00:00 PM,15.008,,,,,
287,06/16/19 01:00:00 PM,15.103,,,,,
288,06/16/19 02:00:00 PM,15.223,,,,,
289,06/16/19 03:00:00 PM,15.318,,,,,
290,06/16/19 04:00:00 PM,15.557,,,,,
291,06/16/19 05:00:00 PM,15.939,,,,,
292,06/16/19 06:00:00 PM,16.368,,,,,
293,06/16/19 07:00:00 PM,16.677,,,,,
294,06/16/19 08:00:00 PM,16.939,,,,,
295,06/16/19 09:00:00 PM,17.058,,,,,
296,06/16/19 10:00:00 PM,17.058,,,,,
297,06/16/19 11:00:00 PM,16.963,,,,,
298,06/17/19 12:00:00 AM,16.796,,,,,
299,06/17/19 01:00:00 AM,16.606,,,,,
300,06/17/19 02:00:00 AM,16.439,,,,,
301,06/17/19 03:00:00 AM,16.201,,,,,
302,06/17/19 04:00:00 AM,15.939,,,,,
303,06/17/19 05:00:00 AM,15.700,,,,,
304,06/17/19 06:00:00 AM,15.485,,,,,
305,06/17/19 07:00:00 AM,15.270,,,,,
306,06/17/19 08:00:00 AM,15.008,,,,,
307,06/17/19 09:00:00 AM,14.768,,,,,
308,06/17/19 10:00:00 AM,14.577,,,,,
309,06/17/19 11:00:00 AM,14.433,,,,,
310,06/17/19 12:00:00 PM,14.433,,,,,
311,06/17/19 01:00:00 PM,14.601,,,,,
