"Plot Title: Spear Road"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20606595, SEN S/N: 20606595)","Coupler Detached (LGR S/N: 20606595)","Coupler Attached (LGR S/N: 20606595)","Host Connected (LGR S/N: 20606595)","Stopped (LGR S/N: 20606595)","End Of File (LGR S/N: 20606595)"
1,05/08/19 03:00:00 PM,12.195,Logged,,,,
2,05/08/19 04:00:00 PM,10.907,,,,,
3,05/08/19 05:00:00 PM,11.516,,,,,
4,05/08/19 06:00:00 PM,12.147,,,,,
5,05/08/19 07:00:00 PM,12.606,,,,,
6,05/08/19 08:00:00 PM,12.871,,,,,
7,05/08/19 09:00:00 PM,12.992,,,,,
8,05/08/19 10:00:00 PM,12.968,,,,,
9,05/08/19 11:00:00 PM,12.896,,,,,
10,05/09/19 12:00:00 AM,12.775,,,,,
11,05/09/19 01:00:00 AM,12.461,,,,,
12,05/09/19 02:00:00 AM,12.074,,,,,
13,05/09/19 03:00:00 AM,11.613,,,,,
14,05/09/19 04:00:00 AM,11.175,,,,,
15,05/09/19 05:00:00 AM,10.712,,,,,
16,05/09/19 06:00:00 AM,10.296,,,,,
17,05/09/19 07:00:00 AM,9.928,,,,,
18,05/09/19 08:00:00 AM,9.632,,,,,
19,05/09/19 09:00:00 AM,9.361,,,,,
20,05/09/19 10:00:00 AM,9.139,,,,,
21,05/09/19 11:00:00 AM,9.015,,,,,
22,05/09/19 12:00:00 PM,9.064,,,,,
23,05/09/19 01:00:00 PM,9.238,,,,,
24,05/09/19 02:00:00 PM,9.558,,,,,
25,05/09/19 03:00:00 PM,10.149,,,,,
26,05/09/19 04:00:00 PM,10.761,,,,,
27,05/09/19 05:00:00 PM,11.078,,,,,
28,05/09/19 06:00:00 PM,11.224,,,,,
29,05/09/19 07:00:00 PM,11.419,,,,,
30,05/09/19 08:00:00 PM,11.565,,,,,
31,05/09/19 09:00:00 PM,11.734,,,,,
32,05/09/19 10:00:00 PM,11.759,,,,,
33,05/09/19 11:00:00 PM,11.807,,,,,
34,05/10/19 12:00:00 AM,11.783,,,,,
