"Plot Title: Reber Church_June4_2019"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20606596, SEN S/N: 20606596)","Coupler Detached (LGR S/N: 20606596)","Coupler Attached (LGR S/N: 20606596)","Host Connected (LGR S/N: 20606596)","Stopped (LGR S/N: 20606596)","End Of File (LGR S/N: 20606596)"
1,06/04/19 02:00:00 PM,24.146,Logged,,,,
2,06/04/19 03:00:00 PM,11.904,,,,,
3,06/04/19 04:00:00 PM,12.025,,,,,
4,06/04/19 05:00:00 PM,12.437,,,,,
5,06/04/19 06:00:00 PM,12.823,,,,,
6,06/04/19 07:00:00 PM,13.257,,,,,
7,06/04/19 08:00:00 PM,13.329,,,,,
8,06/04/19 09:00:00 PM,13.353,,,,,
9,06/04/19 10:00:00 PM,13.353,,,,,
10,06/04/19 11:00:00 PM,13.305,,,,,
11,06/05/19 12:00:00 AM,13.233,,,,,
12,06/05/19 01:00:00 AM,13.088,,,,,
13,06/05/19 02:00:00 AM,12.944,,,,,
14,06/05/19 03:00:00 AM,12.775,,,,,
15,06/05/19 04:00:00 AM,12.606,,,,,
16,06/05/19 05:00:00 AM,12.461,,,,,
17,06/05/19 06:00:00 AM,12.340,,,,,
18,06/05/19 07:00:00 AM,12.243,,,,,
19,06/05/19 08:00:00 AM,12.171,,,,,
20,06/05/19 09:00:00 AM,12.122,,,,,
21,06/05/19 10:00:00 AM,12.074,,,,,
22,06/05/19 11:00:00 AM,12.025,,,,,
23,06/05/19 12:00:00 PM,11.977,,,,,
24,06/05/19 01:00:00 PM,11.977,,,,,
25,06/05/19 02:00:00 PM,11.977,,,,,
26,06/05/19 03:00:00 PM,12.074,,,,,
27,06/05/19 04:00:00 PM,12.122,,,,,
28,06/05/19 05:00:00 PM,12.461,,,,,
29,06/05/19 06:00:00 PM,12.727,,,,,
30,06/05/19 07:00:00 PM,13.016,,,,,
31,06/05/19 08:00:00 PM,13.377,,,,,
32,06/05/19 09:00:00 PM,13.570,,,,,
33,06/05/19 10:00:00 PM,13.666,,,,,
34,06/05/19 11:00:00 PM,13.666,,,,,
35,06/06/19 12:00:00 AM,13.666,,,,,
36,06/06/19 01:00:00 AM,13.642,,,,,
37,06/06/19 02:00:00 AM,13.570,,,,,
38,06/06/19 03:00:00 AM,13.522,,,,,
39,06/06/19 04:00:00 AM,13.329,,,,,
40,06/06/19 05:00:00 AM,13.185,,,,,
41,06/06/19 06:00:00 AM,13.161,,,,,
42,06/06/19 07:00:00 AM,13.137,,,,,
43,06/06/19 08:00:00 AM,13.137,,,,,
44,06/06/19 09:00:00 AM,13.088,,,,,
45,06/06/19 10:00:00 AM,13.064,,,,,
46,06/06/19 11:00:00 AM,13.040,,,,,
47,06/06/19 12:00:00 PM,13.064,,,,,
48,06/06/19 01:00:00 PM,13.161,,,,,
49,06/06/19 02:00:00 PM,13.401,,,,,
50,06/06/19 03:00:00 PM,13.738,,,,,
51,06/06/19 04:00:00 PM,14.194,,,,,
52,06/06/19 05:00:00 PM,14.745,,,,,
53,06/06/19 06:00:00 PM,15.342,,,,,
54,06/06/19 07:00:00 PM,15.891,,,,,
55,06/06/19 08:00:00 PM,16.320,,,,,
56,06/06/19 09:00:00 PM,16.534,,,,,
57,06/06/19 10:00:00 PM,16.630,,,,,
58,06/06/19 11:00:00 PM,16.654,,,,,
59,06/07/19 12:00:00 AM,16.582,,,,,
60,06/07/19 01:00:00 AM,16.463,,,,,
61,06/07/19 02:00:00 AM,16.272,,,,,
62,06/07/19 03:00:00 AM,16.082,,,,,
63,06/07/19 04:00:00 AM,15.867,,,,,
64,06/07/19 05:00:00 AM,15.652,,,,,
65,06/07/19 06:00:00 AM,15.414,,,,,
66,06/07/19 07:00:00 AM,15.151,,,,,
67,06/07/19 08:00:00 AM,14.912,,,,,
68,06/07/19 09:00:00 AM,14.649,,,,,
69,06/07/19 10:00:00 AM,14.385,,,,,
70,06/07/19 11:00:00 AM,14.122,,,,,
71,06/07/19 12:00:00 PM,13.978,,,,,
72,06/07/19 01:00:00 PM,14.002,,,,,
73,06/07/19 02:00:00 PM,14.218,,,,,
74,06/07/19 03:00:00 PM,14.625,,,,,
75,06/07/19 04:00:00 PM,15.127,,,,,
76,06/07/19 05:00:00 PM,15.700,,,,,
77,06/07/19 06:00:00 PM,16.225,,,,,
78,06/07/19 07:00:00 PM,16.582,,,,,
79,06/07/19 08:00:00 PM,16.892,,,,,
80,06/07/19 09:00:00 PM,17.058,,,,,
81,06/07/19 10:00:00 PM,17.272,,,,,
82,06/07/19 11:00:00 PM,17.415,,,,,
83,06/08/19 12:00:00 AM,17.320,,,,,
84,06/08/19 01:00:00 AM,17.153,,,,,
85,06/08/19 02:00:00 AM,16.892,,,,,
86,06/08/19 03:00:00 AM,16.606,,,,,
87,06/08/19 04:00:00 AM,16.320,,,,,
88,06/08/19 05:00:00 AM,16.034,,,,,
89,06/08/19 06:00:00 AM,15.748,,,,,
90,06/08/19 07:00:00 AM,15.461,,,,,
91,06/08/19 08:00:00 AM,15.199,,,,,
92,06/08/19 09:00:00 AM,14.936,,,,,
93,06/08/19 10:00:00 AM,14.697,,,,,
94,06/08/19 11:00:00 AM,14.481,,,,,
95,06/08/19 12:00:00 PM,14.385,,,,,
96,06/08/19 01:00:00 PM,14.433,,,,,
97,06/08/19 02:00:00 PM,14.697,,,,,
98,06/08/19 03:00:00 PM,15.079,,,,,
99,06/08/19 04:00:00 PM,15.581,,,,,
100,06/08/19 05:00:00 PM,16.177,,,,,
101,06/08/19 06:00:00 PM,16.844,,,,,
102,06/08/19 07:00:00 PM,17.486,,,,,
103,06/08/19 08:00:00 PM,17.962,,,,,
104,06/08/19 09:00:00 PM,18.176,,,,,
105,06/08/19 10:00:00 PM,18.224,,,,,
106,06/08/19 11:00:00 PM,18.152,,,,,
107,06/09/19 12:00:00 AM,17.891,,,,,
108,06/09/19 01:00:00 AM,17.534,,,,,
109,06/09/19 02:00:00 AM,17.153,,,,,
110,06/09/19 03:00:00 AM,16.749,,,,,
111,06/09/19 04:00:00 AM,16.344,,,,,
112,06/09/19 05:00:00 AM,15.939,,,,,
113,06/09/19 06:00:00 AM,15.581,,,,,
114,06/09/19 07:00:00 AM,15.247,,,,,
115,06/09/19 08:00:00 AM,14.936,,,,,
116,06/09/19 09:00:00 AM,14.625,,,,,
117,06/09/19 10:00:00 AM,14.361,,,,,
118,06/09/19 11:00:00 AM,14.146,,,,,
119,06/09/19 12:00:00 PM,14.074,,,,,
120,06/09/19 01:00:00 PM,14.194,,,,,
121,06/09/19 02:00:00 PM,14.529,,,,,
122,06/09/19 03:00:00 PM,15.055,,,,,
123,06/09/19 04:00:00 PM,15.676,,,,,
124,06/09/19 05:00:00 PM,16.368,,,,,
125,06/09/19 06:00:00 PM,17.153,,,,,
126,06/09/19 07:00:00 PM,17.819,,,,,
127,06/09/19 08:00:00 PM,18.343,,,,,
128,06/09/19 09:00:00 PM,18.675,,,,,
129,06/09/19 10:00:00 PM,18.866,,,,,
130,06/09/19 11:00:00 PM,18.889,,,,,
131,06/10/19 12:00:00 AM,18.747,,,,,
132,06/10/19 01:00:00 AM,18.485,,,,,
133,06/10/19 02:00:00 AM,18.152,,,,,
134,06/10/19 03:00:00 AM,17.819,,,,,
135,06/10/19 04:00:00 AM,17.439,,,,,
136,06/10/19 05:00:00 AM,17.058,,,,,
137,06/10/19 06:00:00 AM,16.725,,,,,
138,06/10/19 07:00:00 AM,16.392,,,,,
139,06/10/19 08:00:00 AM,16.106,,,,,
140,06/10/19 09:00:00 AM,15.867,,,,,
141,06/10/19 10:00:00 AM,15.605,,,,,
142,06/10/19 11:00:00 AM,15.438,,,,,
143,06/10/19 12:00:00 PM,15.414,,,,,
144,06/10/19 01:00:00 PM,15.533,,,,,
145,06/10/19 02:00:00 PM,15.772,,,,,
146,06/10/19 03:00:00 PM,16.010,,,,,
147,06/10/19 04:00:00 PM,16.511,,,,,
148,06/10/19 05:00:00 PM,17.082,,,,,
149,06/10/19 06:00:00 PM,17.582,,,,,
150,06/10/19 07:00:00 PM,18.152,,,,,
151,06/10/19 08:00:00 PM,18.390,,,,,
152,06/10/19 09:00:00 PM,18.580,,,,,
153,06/10/19 10:00:00 PM,18.723,,,,,
154,06/10/19 11:00:00 PM,18.794,,,,,
155,06/11/19 12:00:00 AM,18.699,,,,,
156,06/11/19 01:00:00 AM,18.533,,,,,
157,06/11/19 02:00:00 AM,18.343,,,,,
158,06/11/19 03:00:00 AM,18.105,,,,,
159,06/11/19 04:00:00 AM,17.867,,,,,
160,06/11/19 05:00:00 AM,17.629,,,,,
161,06/11/19 06:00:00 AM,17.391,,,,,
162,06/11/19 07:00:00 AM,17.177,,,,,
163,06/11/19 08:00:00 AM,16.987,,,,,
164,06/11/19 09:00:00 AM,16.796,,,,,
165,06/11/19 10:00:00 AM,16.582,,,,,
166,06/11/19 11:00:00 AM,16.392,,,,,
167,06/11/19 12:00:00 PM,16.320,,,,,
168,06/11/19 01:00:00 PM,16.320,,,,,
169,06/11/19 02:00:00 PM,16.392,,,,,
170,06/11/19 03:00:00 PM,16.511,,,,,
171,06/11/19 04:00:00 PM,16.654,,,,,
172,06/11/19 05:00:00 PM,16.773,,,,,
173,06/11/19 06:00:00 PM,17.368,,,,,
174,06/11/19 07:00:00 PM,17.867,,,,,
175,06/11/19 08:00:00 PM,18.414,,,,,
176,06/11/19 09:00:00 PM,18.747,,,,,
177,06/11/19 10:00:00 PM,18.866,,,,,
178,06/11/19 11:00:00 PM,18.699,,,,,
179,06/12/19 12:00:00 AM,18.414,,,,,
180,06/12/19 01:00:00 AM,18.010,,,,,
181,06/12/19 02:00:00 AM,17.534,,,,,
182,06/12/19 03:00:00 AM,17.106,,,,,
183,06/12/19 04:00:00 AM,16.701,,,,,
184,06/12/19 05:00:00 AM,16.320,,,,,
185,06/12/19 06:00:00 AM,15.963,,,,,
186,06/12/19 07:00:00 AM,15.629,,,,,
187,06/12/19 08:00:00 AM,15.318,,,,,
188,06/12/19 09:00:00 AM,14.984,,,,,
189,06/12/19 10:00:00 AM,14.673,,,,,
190,06/12/19 11:00:00 AM,14.409,,,,,
191,06/12/19 12:00:00 PM,14.290,,,,,
192,06/12/19 01:00:00 PM,14.361,,,,,
193,06/12/19 02:00:00 PM,14.649,,,,,
194,06/12/19 03:00:00 PM,15.127,,,,,
195,06/12/19 04:00:00 PM,15.676,,,,,
196,06/12/19 05:00:00 PM,16.368,,,,,
197,06/12/19 06:00:00 PM,17.082,,,,,
198,06/12/19 07:00:00 PM,17.677,,,,,
199,06/12/19 08:00:00 PM,18.057,,,,,
200,06/12/19 09:00:00 PM,18.271,,,,,
201,06/12/19 10:00:00 PM,18.343,,,,,
202,06/12/19 11:00:00 PM,18.319,,,,,
203,06/13/19 12:00:00 AM,18.105,,,,,
204,06/13/19 01:00:00 AM,17.819,,,,,
205,06/13/19 02:00:00 AM,17.486,,,,,
206,06/13/19 03:00:00 AM,17.153,,,,,
207,06/13/19 04:00:00 AM,16.820,,,,,
208,06/13/19 05:00:00 AM,16.487,,,,,
209,06/13/19 06:00:00 AM,16.177,,,,,
210,06/13/19 07:00:00 AM,15.915,,,,,
211,06/13/19 08:00:00 AM,15.676,,,,,
212,06/13/19 09:00:00 AM,15.461,,,,,
213,06/13/19 10:00:00 AM,15.294,,,,,
214,06/13/19 11:00:00 AM,15.175,,,,,
215,06/13/19 12:00:00 PM,15.151,,,,,
216,06/13/19 01:00:00 PM,15.175,,,,,
217,06/13/19 02:00:00 PM,15.175,,,,,
218,06/13/19 03:00:00 PM,15.175,,,,,
219,06/13/19 04:00:00 PM,15.199,,,,,
220,06/13/19 05:00:00 PM,15.223,,,,,
221,06/13/19 06:00:00 PM,15.318,,,,,
222,06/13/19 07:00:00 PM,15.533,,,,,
223,06/13/19 08:00:00 PM,15.700,,,,,
224,06/13/19 09:00:00 PM,15.676,,,,,
225,06/13/19 10:00:00 PM,15.629,,,,,
226,06/13/19 11:00:00 PM,15.533,,,,,
227,06/14/19 12:00:00 AM,15.414,,,,,
228,06/14/19 01:00:00 AM,15.270,,,,,
229,06/14/19 02:00:00 AM,15.079,,,,,
230,06/14/19 03:00:00 AM,14.936,,,,,
231,06/14/19 04:00:00 AM,14.745,,,,,
232,06/14/19 05:00:00 AM,14.529,,,,,
233,06/14/19 06:00:00 AM,14.290,,,,,
234,06/14/19 07:00:00 AM,14.098,,,,,
235,06/14/19 08:00:00 AM,13.906,,,,,
236,06/14/19 09:00:00 AM,13.714,,,,,
237,06/14/19 10:00:00 AM,13.570,,,,,
238,06/14/19 11:00:00 AM,13.522,,,,,
239,06/14/19 12:00:00 PM,13.594,,,,,
240,06/14/19 01:00:00 PM,13.810,,,,,
241,06/14/19 02:00:00 PM,14.122,,,,,
242,06/14/19 03:00:00 PM,14.194,,,,,
243,06/14/19 04:00:00 PM,14.361,,,,,
244,06/14/19 05:00:00 PM,14.625,,,,,
245,06/14/19 06:00:00 PM,14.888,,,,,
246,06/14/19 07:00:00 PM,15.008,,,,,
247,06/14/19 08:00:00 PM,15.223,,,,,
248,06/14/19 09:00:00 PM,15.485,,,,,
249,06/14/19 10:00:00 PM,15.438,,,,,
250,06/14/19 11:00:00 PM,15.461,,,,,
251,06/15/19 12:00:00 AM,15.318,,,,,
252,06/15/19 01:00:00 AM,15.175,,,,,
253,06/15/19 02:00:00 AM,15.055,,,,,
254,06/15/19 03:00:00 AM,14.864,,,,,
255,06/15/19 04:00:00 AM,14.625,,,,,
256,06/15/19 05:00:00 AM,14.337,,,,,
257,06/15/19 06:00:00 AM,14.098,,,,,
258,06/15/19 07:00:00 AM,13.882,,,,,
259,06/15/19 08:00:00 AM,13.714,,,,,
260,06/15/19 09:00:00 AM,13.570,,,,,
261,06/15/19 10:00:00 AM,13.425,,,,,
262,06/15/19 11:00:00 AM,13.377,,,,,
263,06/15/19 12:00:00 PM,13.401,,,,,
264,06/15/19 01:00:00 PM,13.522,,,,,
265,06/15/19 02:00:00 PM,13.954,,,,,
266,06/15/19 03:00:00 PM,14.266,,,,,
267,06/15/19 04:00:00 PM,14.936,,,,,
