"Plot Title: 20016015_20191113"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20016015, SEN S/N: 20016015)","Coupler Detached (LGR S/N: 20016015)","Coupler Attached (LGR S/N: 20016015)","Host Connected (LGR S/N: 20016015)","Stopped (LGR S/N: 20016015)","End Of File (LGR S/N: 20016015)"
1,11/13/19 01:30:00 PM,17.748,Logged,,,,
2,11/13/19 01:40:00 PM,17.867,,,,,
3,11/13/19 01:50:00 PM,17.915,,,,,
4,11/13/19 02:00:00 PM,17.891,,,,,
5,11/13/19 02:10:00 PM,16.963,,,,,
6,11/13/19 02:20:00 PM,10.320,,,,,
7,11/13/19 02:30:00 PM,4.376,,,,,
8,11/13/19 02:40:00 PM,1.697,,,,,
9,11/13/19 02:50:00 PM,0.660,,,,,
10,11/13/19 03:00:00 PM,-1.699,,,,,
11,11/13/19 03:10:00 PM,-1.641,,,,,
12,11/13/19 03:20:00 PM,-1.727,,,,,
13,11/13/19 03:30:00 PM,-1.785,,,,,
14,11/13/19 03:40:00 PM,-2.102,,,,,
15,11/13/19 03:50:00 PM,-1.785,,,,,
16,11/13/19 04:00:00 PM,-1.299,,,,,
17,11/13/19 04:10:00 PM,-1.842,,,,,
18,11/13/19 04:20:00 PM,-1.929,,,,,
19,11/13/19 04:30:00 PM,-1.986,,,,,
20,11/13/19 04:40:00 PM,-1.814,,,,,
21,11/13/19 04:50:00 PM,-2.421,,,,,
22,11/13/19 05:00:00 PM,-2.450,,,,,
23,11/13/19 05:10:00 PM,-2.596,,,,,
24,11/13/19 05:20:00 PM,-2.537,,,,,
25,11/13/19 05:30:00 PM,-1.299,,,,,
26,11/13/19 05:40:00 PM,-1.100,,,,,
27,11/13/19 05:50:00 PM,-1.270,,,,,
28,11/13/19 06:00:00 PM,-0.227,,,,,
29,11/13/19 06:10:00 PM,0.412,,,,,
30,11/13/19 06:20:00 PM,-0.199,,,,,
31,11/13/19 06:30:00 PM,0.079,,,,,
32,11/13/19 06:40:00 PM,1.235,,,,,
33,11/13/19 06:50:00 PM,0.107,,,,,
34,11/13/19 07:00:00 PM,-0.004,,,,,
35,11/13/19 07:10:00 PM,-0.004,,,,,
36,11/13/19 07:20:00 PM,-0.004,,,,,
37,11/13/19 07:30:00 PM,-0.004,,,,,
38,11/13/19 07:40:00 PM,-0.004,,,,,
39,11/13/19 07:50:00 PM,-0.004,,,,,
40,11/13/19 08:00:00 PM,-0.032,,,,,
41,11/13/19 08:10:00 PM,-0.032,,,,,
42,11/13/19 08:20:00 PM,-0.032,,,,,
43,11/13/19 08:30:00 PM,-0.032,,,,,
44,11/13/19 08:40:00 PM,-0.032,,,,,
45,11/13/19 08:50:00 PM,-0.032,,,,,
46,11/13/19 09:00:00 PM,-0.032,,,,,
47,11/13/19 09:10:00 PM,-0.032,,,,,
48,11/13/19 09:20:00 PM,-0.032,,,,,
49,11/13/19 09:30:00 PM,-0.032,,,,,
50,11/13/19 09:40:00 PM,-0.032,,,,,
51,11/13/19 09:50:00 PM,-0.032,,,,,
52,11/13/19 10:00:00 PM,-0.032,,,,,
53,11/13/19 10:10:00 PM,-0.032,,,,,
54,11/13/19 10:20:00 PM,-0.032,,,,,
55,11/13/19 10:30:00 PM,-0.032,,,,,
56,11/13/19 10:40:00 PM,-0.032,,,,,
57,11/13/19 10:50:00 PM,-0.032,,,,,
58,11/13/19 11:00:00 PM,-0.032,,,,,
59,11/13/19 11:10:00 PM,-0.032,,,,,
60,11/13/19 11:20:00 PM,-0.032,,,,,
61,11/13/19 11:30:00 PM,-0.032,,,,,
62,11/13/19 11:40:00 PM,-0.032,,,,,
63,11/13/19 11:50:00 PM,-0.032,,,,,
64,11/14/19 12:00:00 AM,-0.032,,,,,
65,11/14/19 12:10:00 AM,-0.032,,,,,
66,11/14/19 12:20:00 AM,-0.032,,,,,
67,11/14/19 12:30:00 AM,-0.032,,,,,
68,11/14/19 12:40:00 AM,-0.032,,,,,
69,11/14/19 12:50:00 AM,-0.032,,,,,
70,11/14/19 01:00:00 AM,-0.032,,,,,
71,11/14/19 01:10:00 AM,-0.032,,,,,
72,11/14/19 01:20:00 AM,-0.032,,,,,
73,11/14/19 01:30:00 AM,-0.004,,,,,
74,11/14/19 01:40:00 AM,-0.004,,,,,
75,11/14/19 01:50:00 AM,-0.004,,,,,
76,11/14/19 02:00:00 AM,-0.004,,,,,
77,11/14/19 02:10:00 AM,-0.004,,,,,
78,11/14/19 02:20:00 AM,-0.004,,,,,
79,11/14/19 02:30:00 AM,-0.004,,,,,
80,11/14/19 02:40:00 AM,-0.004,,,,,
81,11/14/19 02:50:00 AM,-0.004,,,,,
82,11/14/19 03:00:00 AM,-0.004,,,,,
83,11/14/19 03:10:00 AM,-0.004,,,,,
84,11/14/19 03:20:00 AM,-0.004,,,,,
85,11/14/19 03:30:00 AM,-0.004,,,,,
86,11/14/19 03:40:00 AM,-0.004,,,,,
87,11/14/19 03:50:00 AM,-0.004,,,,,
88,11/14/19 04:00:00 AM,-0.004,,,,,
89,11/14/19 04:10:00 AM,-0.004,,,,,
90,11/14/19 04:20:00 AM,-0.004,,,,,
91,11/14/19 04:30:00 AM,-0.004,,,,,
92,11/14/19 04:40:00 AM,-0.004,,,,,
93,11/14/19 04:50:00 AM,0.024,,,,,
94,11/14/19 05:00:00 AM,-0.004,,,,,
95,11/14/19 05:10:00 AM,0.024,,,,,
96,11/14/19 05:20:00 AM,0.024,,,,,
97,11/14/19 05:30:00 AM,0.024,,,,,
98,11/14/19 05:40:00 AM,-0.004,,,,,
99,11/14/19 05:50:00 AM,0.024,,,,,
100,11/14/19 06:00:00 AM,0.024,,,,,
101,11/14/19 06:10:00 AM,0.024,,,,,
102,11/14/19 06:20:00 AM,-0.004,,,,,
103,11/14/19 06:30:00 AM,-0.004,,,,,
104,11/14/19 06:40:00 AM,-0.004,,,,,
105,11/14/19 06:50:00 AM,-0.004,,,,,
106,11/14/19 07:00:00 AM,-0.004,,,,,
107,11/14/19 07:10:00 AM,0.024,,,,,
108,11/14/19 07:20:00 AM,-0.004,,,,,
109,11/14/19 07:30:00 AM,0.024,,,,,
110,11/14/19 07:40:00 AM,-0.004,,,,,
111,11/14/19 07:50:00 AM,-0.004,,,,,
112,11/14/19 08:00:00 AM,-0.004,,,,,
113,11/14/19 08:10:00 AM,-0.004,,,,,
114,11/14/19 08:20:00 AM,-0.004,,,,,
115,11/14/19 08:30:00 AM,-0.004,,,,,
116,11/14/19 08:40:00 AM,-0.004,,,,,
117,11/14/19 08:50:00 AM,-0.004,,,,,
118,11/14/19 09:00:00 AM,-0.004,,,,,
119,11/14/19 09:10:00 AM,-0.004,,,,,
120,11/14/19 09:20:00 AM,-0.004,,,,,
