"Plot Title: 20606599"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20606599, SEN S/N: 20606599)","Coupler Detached (LGR S/N: 20606599)","Coupler Attached (LGR S/N: 20606599)","Host Connected (LGR S/N: 20606599)","Stopped (LGR S/N: 20606599)","End Of File (LGR S/N: 20606599)"
1,06/01/20 02:00:00 PM,18.224,Logged,,,,
2,06/01/20 02:10:00 PM,20.198,,,,,
3,06/01/20 02:20:00 PM,21.008,,,,,
4,06/01/20 02:30:00 PM,23.400,,,,,
5,06/01/20 02:40:00 PM,19.770,,,,,
6,06/01/20 02:50:00 PM,20.936,,,,,
7,06/01/20 03:00:00 PM,20.460,,,,,
8,06/01/20 03:10:00 PM,13.906,,,,,
9,06/01/20 03:20:00 PM,13.425,,,,,
10,06/01/20 03:30:00 PM,13.449,,,,,
11,06/01/20 03:40:00 PM,13.594,,,,,
12,06/01/20 03:50:00 PM,13.618,,,,,
13,06/01/20 04:00:00 PM,13.522,,,,,
14,06/01/20 04:10:00 PM,13.570,,,,,
15,06/01/20 04:20:00 PM,13.594,,,,,
16,06/01/20 04:30:00 PM,13.714,,,,,
17,06/01/20 04:40:00 PM,13.738,,,,,
18,06/01/20 04:50:00 PM,13.714,,,,,
19,06/01/20 05:00:00 PM,13.714,,,,,
20,06/01/20 05:10:00 PM,13.738,,,,,
21,06/01/20 05:20:00 PM,13.738,,,,,
22,06/01/20 05:30:00 PM,13.762,,,,,
23,06/01/20 05:40:00 PM,13.762,,,,,
24,06/01/20 05:50:00 PM,13.762,,,,,
25,06/01/20 06:00:00 PM,13.762,,,,,
26,06/01/20 06:10:00 PM,13.762,,,,,
27,06/01/20 06:20:00 PM,13.810,,,,,
28,06/01/20 06:30:00 PM,13.834,,,,,
29,06/01/20 06:40:00 PM,13.858,,,,,
30,06/01/20 06:50:00 PM,13.858,,,,,
31,06/01/20 07:00:00 PM,13.858,,,,,
32,06/01/20 07:10:00 PM,13.858,,,,,
33,06/01/20 07:20:00 PM,13.858,,,,,
