"Plot Title: BR_20201204_UTC"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20016014, SEN S/N: 20016014)","Coupler Detached (LGR S/N: 20016014)","Coupler Attached (LGR S/N: 20016014)","Host Connected (LGR S/N: 20016014)","Stopped (LGR S/N: 20016014)","End Of File (LGR S/N: 20016014)"
1,12/04/20 01:00:00 PM,15.533,Logged,,,,
2,12/04/20 01:10:00 PM,15.581,,,,,
3,12/04/20 01:20:00 PM,15.461,,,,,
4,12/04/20 01:30:00 PM,15.318,,,,,
5,12/04/20 01:40:00 PM,15.509,,,,,
6,12/04/20 01:50:00 PM,15.676,,,,,
7,12/04/20 02:00:00 PM,15.748,,,,,
8,12/04/20 02:10:00 PM,16.058,,,,,
9,12/04/20 02:20:00 PM,16.058,,,,,
10,12/04/20 02:30:00 PM,16.082,,,,,
11,12/04/20 02:40:00 PM,16.272,,,,,
12,12/04/20 02:50:00 PM,17.034,,,,,
13,12/04/20 03:00:00 PM,17.439,,,,,
14,12/04/20 03:10:00 PM,17.106,,,,,
15,12/04/20 03:20:00 PM,17.011,,,,,
16,12/04/20 03:30:00 PM,17.082,,,,,
17,12/04/20 03:40:00 PM,17.296,,,,,
18,12/04/20 03:50:00 PM,17.153,,,,,
19,12/04/20 04:00:00 PM,17.058,,,,,
20,12/04/20 04:10:00 PM,17.296,,,,,
21,12/04/20 04:20:00 PM,17.368,,,,,
22,12/04/20 04:30:00 PM,17.463,,,,,
23,12/04/20 04:40:00 PM,18.295,,,,,
24,12/04/20 04:50:00 PM,3.643,,,,,
25,12/04/20 05:00:00 PM,3.009,,,,,
26,12/04/20 05:10:00 PM,3.009,,,,,
27,12/04/20 05:20:00 PM,3.009,,,,,
28,12/04/20 05:30:00 PM,3.036,,,,,
29,12/04/20 05:40:00 PM,3.063,,,,,
30,12/04/20 05:50:00 PM,3.063,,,,,
31,12/04/20 06:00:00 PM,3.063,,,,,
32,12/04/20 06:10:00 PM,3.063,,,,,
33,12/04/20 06:20:00 PM,3.063,,,,,
34,12/04/20 06:30:00 PM,3.089,,,,,
35,12/04/20 06:40:00 PM,3.089,,,,,
36,12/04/20 06:50:00 PM,3.089,,,,,
37,12/04/20 07:00:00 PM,3.116,,,,,
38,12/04/20 07:10:00 PM,3.116,,,,,
39,12/04/20 07:20:00 PM,3.116,,,,,
40,12/04/20 07:30:00 PM,3.116,,,,,
41,12/04/20 07:40:00 PM,3.116,,,,,
42,12/04/20 07:50:00 PM,3.142,,,,,
43,12/04/20 08:00:00 PM,3.142,,,,,
44,12/04/20 08:10:00 PM,3.142,,,,,
45,12/04/20 08:20:00 PM,3.142,,,,,
46,12/04/20 08:30:00 PM,3.142,,,,,
47,12/04/20 08:40:00 PM,3.168,,,,,
48,12/04/20 08:50:00 PM,3.168,,,,,
49,12/04/20 09:00:00 PM,3.168,,,,,
50,12/04/20 09:10:00 PM,3.142,,,,,
51,12/04/20 09:20:00 PM,3.142,,,,,
52,12/04/20 09:30:00 PM,3.142,,,,,
53,12/04/20 09:40:00 PM,3.142,,,,,
54,12/04/20 09:50:00 PM,3.142,,,,,
55,12/04/20 10:00:00 PM,3.116,,,,,
56,12/04/20 10:10:00 PM,3.116,,,,,
57,12/04/20 10:20:00 PM,3.116,,,,,
58,12/04/20 10:30:00 PM,3.116,,,,,
59,12/04/20 10:40:00 PM,3.089,,,,,
60,12/04/20 10:50:00 PM,3.089,,,,,
61,12/04/20 11:00:00 PM,3.063,,,,,
62,12/04/20 11:10:00 PM,3.063,,,,,
63,12/04/20 11:20:00 PM,3.063,,,,,
64,12/04/20 11:30:00 PM,3.063,,,,,
65,12/04/20 11:40:00 PM,3.063,,,,,
