"Plot Title: BQ_S1.2_temp2"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20606598, SEN S/N: 20606598)","Coupler Detached (LGR S/N: 20606598)","Coupler Attached (LGR S/N: 20606598)","Host Connected (LGR S/N: 20606598)","Stopped (LGR S/N: 20606598)","End Of File (LGR S/N: 20606598)"
1,05/08/19 04:00:00 PM,10.369,Logged,,,,
2,05/08/19 05:00:00 PM,12.171,,,,,
3,05/08/19 06:00:00 PM,12.920,,,,,
4,05/08/19 07:00:00 PM,13.377,,,,,
5,05/08/19 08:00:00 PM,13.546,,,,,
6,05/08/19 09:00:00 PM,13.377,,,,,
7,05/08/19 10:00:00 PM,12.968,,,,,
8,05/08/19 11:00:00 PM,12.437,,,,,
9,05/09/19 12:00:00 AM,12.050,,,,,
10,05/09/19 01:00:00 AM,11.759,,,,,
11,05/09/19 02:00:00 AM,11.516,,,,,
12,05/09/19 03:00:00 AM,11.297,,,,,
13,05/09/19 04:00:00 AM,11.053,,,,,
14,05/09/19 05:00:00 AM,10.810,,,,,
15,05/09/19 06:00:00 AM,10.590,,,,,
16,05/09/19 07:00:00 AM,10.418,,,,,
17,05/09/19 08:00:00 AM,10.320,,,,,
18,05/09/19 09:00:00 AM,10.222,,,,,
19,05/09/19 10:00:00 AM,10.149,,,,,
20,05/09/19 11:00:00 AM,10.124,,,,,
21,05/09/19 12:00:00 PM,10.124,,,,,
22,05/09/19 01:00:00 PM,10.247,,,,,
23,05/09/19 02:00:00 PM,10.418,,,,,
24,05/09/19 03:00:00 PM,10.907,,,,,
25,05/09/19 04:00:00 PM,11.443,,,,,
26,05/09/19 05:00:00 PM,11.686,,,,,
27,05/09/19 06:00:00 PM,11.880,,,,,
28,05/09/19 07:00:00 PM,11.904,,,,,
29,05/09/19 08:00:00 PM,12.001,,,,,
30,05/09/19 09:00:00 PM,11.929,,,,,
31,05/09/19 10:00:00 PM,11.783,,,,,
32,05/09/19 11:00:00 PM,11.637,,,,,
33,05/10/19 12:00:00 AM,11.492,,,,,
34,05/10/19 01:00:00 AM,11.370,,,,,
35,05/10/19 02:00:00 AM,11.248,,,,,
36,05/10/19 03:00:00 AM,11.175,,,,,
37,05/10/19 04:00:00 AM,11.102,,,,,
38,05/10/19 05:00:00 AM,11.053,,,,,
39,05/10/19 06:00:00 AM,10.956,,,,,
40,05/10/19 07:00:00 AM,10.810,,,,,
41,05/10/19 08:00:00 AM,10.663,,,,,
42,05/10/19 09:00:00 AM,10.565,,,,,
43,05/10/19 10:00:00 AM,10.492,,,,,
44,05/10/19 11:00:00 AM,10.467,,,,,
45,05/10/19 12:00:00 PM,10.443,,,,,
46,05/10/19 01:00:00 PM,10.443,,,,,
47,05/10/19 02:00:00 PM,10.516,,,,,
48,05/10/19 03:00:00 PM,10.541,,,,,
49,05/10/19 04:00:00 PM,10.565,,,,,
50,05/10/19 05:00:00 PM,10.565,,,,,
51,05/10/19 06:00:00 PM,10.761,,,,,
52,05/10/19 07:00:00 PM,10.907,,,,,
53,05/10/19 08:00:00 PM,11.053,,,,,
54,05/10/19 09:00:00 PM,11.200,,,,,
55,05/10/19 10:00:00 PM,11.151,,,,,
56,05/10/19 11:00:00 PM,11.127,,,,,
57,05/11/19 12:00:00 AM,11.102,,,,,
58,05/11/19 01:00:00 AM,11.005,,,,,
59,05/11/19 02:00:00 AM,10.907,,,,,
60,05/11/19 03:00:00 AM,10.810,,,,,
61,05/11/19 04:00:00 AM,10.785,,,,,
62,05/11/19 05:00:00 AM,10.712,,,,,
63,05/11/19 06:00:00 AM,10.638,,,,,
64,05/11/19 07:00:00 AM,10.565,,,,,
65,05/11/19 08:00:00 AM,10.467,,,,,
66,05/11/19 09:00:00 AM,10.394,,,,,
67,05/11/19 10:00:00 AM,10.320,,,,,
68,05/11/19 11:00:00 AM,10.198,,,,,
69,05/11/19 12:00:00 PM,10.100,,,,,
70,05/11/19 01:00:00 PM,10.124,,,,,
71,05/11/19 02:00:00 PM,10.320,,,,,
72,05/11/19 03:00:00 PM,10.590,,,,,
73,05/11/19 04:00:00 PM,10.907,,,,,
74,05/11/19 05:00:00 PM,11.662,,,,,
75,05/11/19 06:00:00 PM,12.074,,,,,
76,05/11/19 07:00:00 PM,12.389,,,,,
77,05/11/19 08:00:00 PM,12.437,,,,,
78,05/11/19 09:00:00 PM,12.389,,,,,
79,05/11/19 10:00:00 PM,12.316,,,,,
80,05/11/19 11:00:00 PM,12.243,,,,,
81,05/12/19 12:00:00 AM,12.122,,,,,
82,05/12/19 01:00:00 AM,11.953,,,,,
83,05/12/19 02:00:00 AM,11.759,,,,,
84,05/12/19 03:00:00 AM,11.589,,,,,
85,05/12/19 04:00:00 AM,11.419,,,,,
86,05/12/19 05:00:00 AM,11.248,,,,,
87,05/12/19 06:00:00 AM,11.078,,,,,
88,05/12/19 07:00:00 AM,10.907,,,,,
89,05/12/19 08:00:00 AM,10.736,,,,,
90,05/12/19 09:00:00 AM,10.590,,,,,
91,05/12/19 10:00:00 AM,10.418,,,,,
92,05/12/19 11:00:00 AM,10.271,,,,,
93,05/12/19 12:00:00 PM,10.198,,,,,
94,05/12/19 01:00:00 PM,10.198,,,,,
95,05/12/19 02:00:00 PM,10.320,,,,,
96,05/12/19 03:00:00 PM,10.418,,,,,
97,05/12/19 04:00:00 PM,10.467,,,,,
98,05/12/19 05:00:00 PM,10.590,,,,,
99,05/12/19 06:00:00 PM,10.687,,,,,
100,05/12/19 07:00:00 PM,10.883,,,,,
101,05/12/19 08:00:00 PM,10.907,,,,,
102,05/12/19 09:00:00 PM,10.907,,,,,
103,05/12/19 10:00:00 PM,10.932,,,,,
104,05/12/19 11:00:00 PM,10.907,,,,,
105,05/13/19 12:00:00 AM,10.834,,,,,
106,05/13/19 01:00:00 AM,10.712,,,,,
107,05/13/19 02:00:00 AM,10.614,,,,,
108,05/13/19 03:00:00 AM,10.516,,,,,
109,05/13/19 04:00:00 AM,10.418,,,,,
110,05/13/19 05:00:00 AM,10.345,,,,,
111,05/13/19 06:00:00 AM,10.271,,,,,
112,05/13/19 07:00:00 AM,10.198,,,,,
113,05/13/19 08:00:00 AM,10.100,,,,,
114,05/13/19 09:00:00 AM,10.026,,,,,
115,05/13/19 10:00:00 AM,9.903,,,,,
116,05/13/19 11:00:00 AM,9.829,,,,,
117,05/13/19 12:00:00 PM,9.829,,,,,
118,05/13/19 01:00:00 PM,9.879,,,,,
119,05/13/19 02:00:00 PM,9.952,,,,,
120,05/13/19 03:00:00 PM,10.026,,,,,
121,05/13/19 04:00:00 PM,10.198,,,,,
122,05/13/19 05:00:00 PM,10.296,,,,,
123,05/13/19 06:00:00 PM,10.369,,,,,
124,05/13/19 07:00:00 PM,10.418,,,,,
125,05/13/19 08:00:00 PM,10.369,,,,,
126,05/13/19 09:00:00 PM,10.296,,,,,
127,05/13/19 10:00:00 PM,10.247,,,,,
128,05/13/19 11:00:00 PM,10.173,,,,,
129,05/14/19 12:00:00 AM,10.075,,,,,
130,05/14/19 01:00:00 AM,9.977,,,,,
131,05/14/19 02:00:00 AM,9.854,,,,,
132,05/14/19 03:00:00 AM,9.731,,,,,
133,05/14/19 04:00:00 AM,9.632,,,,,
134,05/14/19 05:00:00 AM,9.509,,,,,
135,05/14/19 06:00:00 AM,9.410,,,,,
136,05/14/19 07:00:00 AM,9.312,,,,,
137,05/14/19 08:00:00 AM,9.238,,,,,
138,05/14/19 09:00:00 AM,9.139,,,,,
139,05/14/19 10:00:00 AM,9.040,,,,,
140,05/14/19 11:00:00 AM,8.965,,,,,
141,05/14/19 12:00:00 PM,8.916,,,,,
142,05/14/19 01:00:00 PM,8.941,,,,,
143,05/14/19 02:00:00 PM,8.916,,,,,
144,05/14/19 03:00:00 PM,8.866,,,,,
145,05/14/19 04:00:00 PM,8.817,,,,,
146,05/14/19 05:00:00 PM,8.941,,,,,
147,05/14/19 06:00:00 PM,9.064,,,,,
