"Plot Title: BR_20200811"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20606597, SEN S/N: 20606597)","Coupler Detached (LGR S/N: 20606597)","Coupler Attached (LGR S/N: 20606597)","Host Connected (LGR S/N: 20606597)","Stopped (LGR S/N: 20606597)","End Of File (LGR S/N: 20606597)"
1,08/11/20 04:00:00 PM,22.441,Logged,,,,
2,08/11/20 04:10:00 PM,22.609,,,,,
3,08/11/20 04:20:00 PM,22.776,,,,,
4,08/11/20 04:30:00 PM,22.968,,,,,
5,08/11/20 04:40:00 PM,23.136,,,,,
6,08/11/20 04:50:00 PM,23.304,,,,,
7,08/11/20 05:00:00 PM,23.472,,,,,
8,08/11/20 05:10:00 PM,23.641,,,,,
9,08/11/20 05:20:00 PM,23.785,,,,,
10,08/11/20 05:30:00 PM,23.954,,,,,
11,08/11/20 05:40:00 PM,24.098,,,,,
12,08/11/20 05:50:00 PM,24.243,,,,,
13,08/11/20 06:00:00 PM,24.388,,,,,
14,08/11/20 06:10:00 PM,24.508,,,,,
15,08/11/20 06:20:00 PM,24.605,,,,,
16,08/11/20 06:30:00 PM,24.726,,,,,
17,08/11/20 06:40:00 PM,24.847,,,,,
18,08/11/20 06:50:00 PM,24.968,,,,,
19,08/11/20 07:00:00 PM,25.065,,,,,
20,08/11/20 07:10:00 PM,25.162,,,,,
21,08/11/20 07:20:00 PM,25.258,,,,,
22,08/11/20 07:30:00 PM,25.331,,,,,
23,08/11/20 07:40:00 PM,25.380,,,,,
24,08/11/20 07:50:00 PM,25.404,,,,,
25,08/11/20 08:00:00 PM,25.428,,,,,
26,08/11/20 08:10:00 PM,25.453,,,,,
27,08/11/20 08:20:00 PM,25.453,,,,,
28,08/11/20 08:30:00 PM,25.453,,,,,
29,08/11/20 08:40:00 PM,25.453,,,,,
30,08/11/20 08:50:00 PM,25.453,,,,,
31,08/11/20 09:00:00 PM,25.428,,,,,
32,08/11/20 09:10:00 PM,25.404,,,,,
33,08/11/20 09:20:00 PM,25.355,,,,,
34,08/11/20 09:30:00 PM,25.307,,,,,
35,08/11/20 09:40:00 PM,25.283,,,,,
36,08/11/20 09:50:00 PM,25.210,,,,,
37,08/11/20 10:00:00 PM,25.186,,,,,
38,08/11/20 10:10:00 PM,25.137,,,,,
39,08/11/20 10:20:00 PM,25.089,,,,,
40,08/11/20 10:30:00 PM,25.040,,,,,
41,08/11/20 10:40:00 PM,24.992,,,,,
42,08/11/20 10:50:00 PM,24.992,,,,,
43,08/11/20 11:00:00 PM,24.944,,,,,
44,08/11/20 11:10:00 PM,24.919,,,,,
45,08/11/20 11:20:00 PM,24.871,,,,,
46,08/11/20 11:30:00 PM,24.823,,,,,
47,08/11/20 11:40:00 PM,24.750,,,,,
48,08/11/20 11:50:00 PM,24.702,,,,,
49,08/12/20 12:00:00 AM,24.653,,,,,
50,08/12/20 12:10:00 AM,24.581,,,,,
51,08/12/20 12:20:00 AM,24.508,,,,,
52,08/12/20 12:30:00 AM,24.460,,,,,
53,08/12/20 12:40:00 AM,24.388,,,,,
54,08/12/20 12:50:00 AM,24.315,,,,,
55,08/12/20 01:00:00 AM,24.267,,,,,
56,08/12/20 01:10:00 AM,24.195,,,,,
57,08/12/20 01:20:00 AM,24.146,,,,,
58,08/12/20 01:30:00 AM,24.074,,,,,
59,08/12/20 01:40:00 AM,24.002,,,,,
60,08/12/20 01:50:00 AM,23.954,,,,,
61,08/12/20 02:00:00 AM,23.881,,,,,
62,08/12/20 02:10:00 AM,23.833,,,,,
63,08/12/20 02:20:00 AM,23.761,,,,,
64,08/12/20 02:30:00 AM,23.689,,,,,
65,08/12/20 02:40:00 AM,23.617,,,,,
66,08/12/20 02:50:00 AM,23.545,,,,,
67,08/12/20 03:00:00 AM,23.497,,,,,
68,08/12/20 03:10:00 AM,23.424,,,,,
69,08/12/20 03:20:00 AM,23.352,,,,,
70,08/12/20 03:30:00 AM,23.304,,,,,
71,08/12/20 03:40:00 AM,23.232,,,,,
72,08/12/20 03:50:00 AM,23.184,,,,,
73,08/12/20 04:00:00 AM,23.136,,,,,
74,08/12/20 04:10:00 AM,23.064,,,,,
75,08/12/20 04:20:00 AM,23.016,,,,,
76,08/12/20 04:30:00 AM,22.968,,,,,
77,08/12/20 04:40:00 AM,22.920,,,,,
78,08/12/20 04:50:00 AM,22.872,,,,,
79,08/12/20 05:00:00 AM,22.848,,,,,
80,08/12/20 05:10:00 AM,22.800,,,,,
81,08/12/20 05:20:00 AM,22.753,,,,,
82,08/12/20 05:30:00 AM,22.681,,,,,
83,08/12/20 05:40:00 AM,22.633,,,,,
84,08/12/20 05:50:00 AM,22.585,,,,,
85,08/12/20 06:00:00 AM,22.537,,,,,
86,08/12/20 06:10:00 AM,22.489,,,,,
87,08/12/20 06:20:00 AM,22.441,,,,,
88,08/12/20 06:30:00 AM,22.393,,,,,
89,08/12/20 06:40:00 AM,22.345,,,,,
90,08/12/20 06:50:00 AM,22.321,,,,,
91,08/12/20 07:00:00 AM,22.274,,,,,
92,08/12/20 07:10:00 AM,22.226,,,,,
93,08/12/20 07:20:00 AM,22.178,,,,,
94,08/12/20 07:30:00 AM,22.154,,,,,
95,08/12/20 07:40:00 AM,22.106,,,,,
96,08/12/20 07:50:00 AM,22.058,,,,,
97,08/12/20 08:00:00 AM,22.011,,,,,
98,08/12/20 08:10:00 AM,21.987,,,,,
99,08/12/20 08:20:00 AM,21.939,,,,,
100,08/12/20 08:30:00 AM,21.891,,,,,
101,08/12/20 08:40:00 AM,21.843,,,,,
102,08/12/20 08:50:00 AM,21.819,,,,,
103,08/12/20 09:00:00 AM,21.772,,,,,
104,08/12/20 09:10:00 AM,21.724,,,,,
105,08/12/20 09:20:00 AM,21.676,,,,,
106,08/12/20 09:30:00 AM,21.628,,,,,
107,08/12/20 09:40:00 AM,21.581,,,,,
108,08/12/20 09:50:00 AM,21.557,,,,,
109,08/12/20 10:00:00 AM,21.509,,,,,
110,08/12/20 10:10:00 AM,21.485,,,,,
111,08/12/20 10:20:00 AM,21.461,,,,,
112,08/12/20 10:30:00 AM,21.413,,,,,
113,08/12/20 10:40:00 AM,21.390,,,,,
114,08/12/20 10:50:00 AM,21.366,,,,,
115,08/12/20 11:00:00 AM,21.342,,,,,
