"Plot Title: BQ_S4_temp3"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20606599, SEN S/N: 20606599)","Coupler Detached (LGR S/N: 20606599)","Coupler Attached (LGR S/N: 20606599)","Host Connected (LGR S/N: 20606599)","Stopped (LGR S/N: 20606599)","End Of File (LGR S/N: 20606599)"
1,05/08/19 04:00:00 PM,10.761,Logged,,,,
2,05/08/19 05:00:00 PM,11.832,,,,,
3,05/08/19 06:00:00 PM,12.316,,,,,
4,05/08/19 07:00:00 PM,12.751,,,,,
5,05/08/19 08:00:00 PM,12.992,,,,,
6,05/08/19 09:00:00 PM,13.016,,,,,
7,05/08/19 10:00:00 PM,12.920,,,,,
8,05/08/19 11:00:00 PM,12.799,,,,,
9,05/09/19 12:00:00 AM,12.654,,,,,
10,05/09/19 01:00:00 AM,12.485,,,,,
11,05/09/19 02:00:00 AM,12.147,,,,,
12,05/09/19 03:00:00 AM,11.759,,,,,
13,05/09/19 04:00:00 AM,11.321,,,,,
14,05/09/19 05:00:00 AM,10.883,,,,,
15,05/09/19 06:00:00 AM,10.443,,,,,
16,05/09/19 07:00:00 AM,10.051,,,,,
17,05/09/19 08:00:00 AM,9.731,,,,,
18,05/09/19 09:00:00 AM,9.485,,,,,
19,05/09/19 10:00:00 AM,9.262,,,,,
20,05/09/19 11:00:00 AM,9.139,,,,,
21,05/09/19 12:00:00 PM,9.139,,,,,
22,05/09/19 01:00:00 PM,9.287,,,,,
23,05/09/19 02:00:00 PM,9.583,,,,,
24,05/09/19 03:00:00 PM,10.124,,,,,
25,05/09/19 04:00:00 PM,10.834,,,,,
26,05/09/19 05:00:00 PM,11.248,,,,,
27,05/09/19 06:00:00 PM,11.419,,,,,
28,05/09/19 07:00:00 PM,11.516,,,,,
29,05/09/19 08:00:00 PM,11.686,,,,,
30,05/09/19 09:00:00 PM,11.807,,,,,
31,05/09/19 10:00:00 PM,11.807,,,,,
32,05/09/19 11:00:00 PM,11.807,,,,,
33,05/10/19 12:00:00 AM,11.807,,,,,
34,05/10/19 01:00:00 AM,11.783,,,,,
35,05/10/19 02:00:00 AM,11.686,,,,,
36,05/10/19 03:00:00 AM,11.565,,,,,
37,05/10/19 04:00:00 AM,11.419,,,,,
38,05/10/19 05:00:00 AM,11.273,,,,,
39,05/10/19 06:00:00 AM,11.102,,,,,
40,05/10/19 07:00:00 AM,10.907,,,,,
41,05/10/19 08:00:00 AM,10.761,,,,,
42,05/10/19 09:00:00 AM,10.590,,,,,
43,05/10/19 10:00:00 AM,10.418,,,,,
44,05/10/19 11:00:00 AM,10.247,,,,,
45,05/10/19 12:00:00 PM,10.051,,,,,
46,05/10/19 01:00:00 PM,9.977,,,,,
47,05/10/19 02:00:00 PM,9.952,,,,,
48,05/10/19 03:00:00 PM,9.928,,,,,
49,05/10/19 04:00:00 PM,9.928,,,,,
50,05/10/19 05:00:00 PM,9.977,,,,,
51,05/10/19 06:00:00 PM,10.222,,,,,
52,05/10/19 07:00:00 PM,10.418,,,,,
53,05/10/19 08:00:00 PM,10.663,,,,,
54,05/10/19 09:00:00 PM,10.956,,,,,
55,05/10/19 10:00:00 PM,11.151,,,,,
56,05/10/19 11:00:00 PM,11.224,,,,,
57,05/11/19 12:00:00 AM,11.224,,,,,
58,05/11/19 01:00:00 AM,11.127,,,,,
59,05/11/19 02:00:00 AM,11.053,,,,,
60,05/11/19 03:00:00 AM,10.932,,,,,
61,05/11/19 04:00:00 AM,10.858,,,,,
62,05/11/19 05:00:00 AM,10.810,,,,,
63,05/11/19 06:00:00 AM,10.712,,,,,
64,05/11/19 07:00:00 AM,10.638,,,,,
65,05/11/19 08:00:00 AM,10.565,,,,,
66,05/11/19 09:00:00 AM,10.467,,,,,
67,05/11/19 10:00:00 AM,10.369,,,,,
68,05/11/19 11:00:00 AM,10.271,,,,,
69,05/11/19 12:00:00 PM,10.149,,,,,
70,05/11/19 01:00:00 PM,10.369,,,,,
71,05/11/19 02:00:00 PM,10.369,,,,,
72,05/11/19 03:00:00 PM,10.467,,,,,
73,05/11/19 04:00:00 PM,10.810,,,,,
74,05/11/19 05:00:00 PM,11.127,,,,,
75,05/11/19 06:00:00 PM,11.613,,,,,
76,05/11/19 07:00:00 PM,11.880,,,,,
77,05/11/19 08:00:00 PM,12.050,,,,,
78,05/11/19 09:00:00 PM,12.364,,,,,
79,05/11/19 10:00:00 PM,12.582,,,,,
80,05/11/19 11:00:00 PM,12.630,,,,,
81,05/12/19 12:00:00 AM,12.437,,,,,
82,05/12/19 01:00:00 AM,12.195,,,,,
83,05/12/19 02:00:00 AM,11.977,,,,,
84,05/12/19 03:00:00 AM,11.807,,,,,
85,05/12/19 04:00:00 AM,11.637,,,,,
86,05/12/19 05:00:00 AM,11.443,,,,,
87,05/12/19 06:00:00 AM,11.273,,,,,
88,05/12/19 07:00:00 AM,11.078,,,,,
89,05/12/19 08:00:00 AM,10.883,,,,,
90,05/12/19 09:00:00 AM,10.687,,,,,
91,05/12/19 10:00:00 AM,10.516,,,,,
92,05/12/19 11:00:00 AM,10.394,,,,,
93,05/12/19 12:00:00 PM,10.345,,,,,
94,05/12/19 01:00:00 PM,10.345,,,,,
95,05/12/19 02:00:00 PM,10.443,,,,,
96,05/12/19 03:00:00 PM,10.541,,,,,
97,05/12/19 04:00:00 PM,10.590,,,,,
