"Plot Title: BQ_S3.2_temp2_20191125"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20606596, SEN S/N: 20606596)","Coupler Detached (LGR S/N: 20606596)","Coupler Attached (LGR S/N: 20606596)","Host Connected (LGR S/N: 20606596)","Stopped (LGR S/N: 20606596)","End Of File (LGR S/N: 20606596)"
1,11/25/19 02:00:00 PM,17.034,Logged,,,,
2,11/25/19 02:10:00 PM,13.329,,,,,
3,11/25/19 02:20:00 PM,11.419,,,,,
4,11/25/19 02:30:00 PM,10.173,,,,,
5,11/25/19 02:40:00 PM,9.114,,,,,
6,11/25/19 02:50:00 PM,8.742,,,,,
7,11/25/19 03:00:00 PM,10.173,,,,,
8,11/25/19 03:10:00 PM,10.320,,,,,
9,11/25/19 03:20:00 PM,9.903,,,,,
10,11/25/19 03:30:00 PM,8.568,,,,,
11,11/25/19 03:40:00 PM,9.534,,,,,
12,11/25/19 03:50:00 PM,8.866,,,,,
13,11/25/19 04:00:00 PM,9.015,,,,,
14,11/25/19 04:10:00 PM,8.941,,,,,
15,11/25/19 04:20:00 PM,9.706,,,,,
16,11/25/19 04:30:00 PM,10.222,,,,,
17,11/25/19 04:40:00 PM,10.320,,,,,
18,11/25/19 04:50:00 PM,10.565,,,,,
19,11/25/19 05:00:00 PM,14.601,,,,,
20,11/25/19 05:10:00 PM,17.153,,,,,
21,11/25/19 05:20:00 PM,10.516,,,,,
22,11/25/19 05:30:00 PM,2.770,,,,,
23,11/25/19 05:40:00 PM,2.557,,,,,
24,11/25/19 05:50:00 PM,2.584,,,,,
25,11/25/19 06:00:00 PM,2.610,,,,,
26,11/25/19 06:10:00 PM,2.637,,,,,
27,11/25/19 06:20:00 PM,2.690,,,,,
28,11/25/19 06:30:00 PM,2.717,,,,,
29,11/25/19 06:40:00 PM,2.717,,,,,
30,11/25/19 06:50:00 PM,2.744,,,,,
31,11/25/19 07:00:00 PM,2.770,,,,,
32,11/25/19 07:10:00 PM,2.797,,,,,
33,11/25/19 07:20:00 PM,2.797,,,,,
34,11/25/19 07:30:00 PM,2.823,,,,,
35,11/25/19 07:40:00 PM,2.823,,,,,
36,11/25/19 07:50:00 PM,2.850,,,,,
37,11/25/19 08:00:00 PM,2.850,,,,,
38,11/25/19 08:10:00 PM,2.823,,,,,
39,11/25/19 08:20:00 PM,2.823,,,,,
40,11/25/19 08:30:00 PM,2.823,,,,,
41,11/25/19 08:40:00 PM,2.823,,,,,
42,11/25/19 08:50:00 PM,2.823,,,,,
43,11/25/19 09:00:00 PM,2.823,,,,,
44,11/25/19 09:10:00 PM,2.823,,,,,
45,11/25/19 09:20:00 PM,2.823,,,,,
46,11/25/19 09:30:00 PM,2.823,,,,,
47,11/25/19 09:40:00 PM,2.797,,,,,
48,11/25/19 09:50:00 PM,2.797,,,,,
49,11/25/19 10:00:00 PM,2.797,,,,,
50,11/25/19 10:10:00 PM,2.770,,,,,
51,11/25/19 10:20:00 PM,2.744,,,,,
52,11/25/19 10:30:00 PM,2.744,,,,,
53,11/25/19 10:40:00 PM,2.717,,,,,
54,11/25/19 10:50:00 PM,2.690,,,,,
55,11/25/19 11:00:00 PM,2.664,,,,,
56,11/25/19 11:10:00 PM,2.637,,,,,
57,11/25/19 11:20:00 PM,2.610,,,,,
58,11/25/19 11:30:00 PM,2.584,,,,,
59,11/25/19 11:40:00 PM,2.557,,,,,
60,11/25/19 11:50:00 PM,2.530,,,,,
61,11/26/19 12:00:00 AM,2.530,,,,,
62,11/26/19 12:10:00 AM,2.503,,,,,
63,11/26/19 12:20:00 AM,2.477,,,,,
64,11/26/19 12:30:00 AM,2.450,,,,,
65,11/26/19 12:40:00 AM,2.423,,,,,
66,11/26/19 12:50:00 AM,2.423,,,,,
67,11/26/19 01:00:00 AM,2.396,,,,,
68,11/26/19 01:10:00 AM,2.396,,,,,
69,11/26/19 01:20:00 AM,2.396,,,,,
70,11/26/19 01:30:00 AM,2.396,,,,,
71,11/26/19 01:40:00 AM,2.396,,,,,
72,11/26/19 01:50:00 AM,2.396,,,,,
73,11/26/19 02:00:00 AM,2.423,,,,,
74,11/26/19 02:10:00 AM,2.423,,,,,
75,11/26/19 02:20:00 AM,2.423,,,,,
76,11/26/19 02:30:00 AM,2.423,,,,,
77,11/26/19 02:40:00 AM,2.423,,,,,
78,11/26/19 02:50:00 AM,2.450,,,,,
79,11/26/19 03:00:00 AM,2.450,,,,,
80,11/26/19 03:10:00 AM,2.450,,,,,
81,11/26/19 03:20:00 AM,2.450,,,,,
82,11/26/19 03:30:00 AM,2.477,,,,,
83,11/26/19 03:40:00 AM,2.477,,,,,
84,11/26/19 03:50:00 AM,2.477,,,,,
85,11/26/19 04:00:00 AM,2.503,,,,,
86,11/26/19 04:10:00 AM,2.503,,,,,
87,11/26/19 04:20:00 AM,2.503,,,,,
88,11/26/19 04:30:00 AM,2.503,,,,,
89,11/26/19 04:40:00 AM,2.503,,,,,
90,11/26/19 04:50:00 AM,2.477,,,,,
91,11/26/19 05:00:00 AM,2.477,,,,,
92,11/26/19 05:10:00 AM,2.477,,,,,
93,11/26/19 05:20:00 AM,2.503,,,,,
94,11/26/19 05:30:00 AM,2.503,,,,,
95,11/26/19 05:40:00 AM,2.503,,,,,
96,11/26/19 05:50:00 AM,2.503,,,,,
97,11/26/19 06:00:00 AM,2.503,,,,,
98,11/26/19 06:10:00 AM,2.503,,,,,
99,11/26/19 06:20:00 AM,2.503,,,,,
100,11/26/19 06:30:00 AM,2.477,,,,,
101,11/26/19 06:40:00 AM,2.477,,,,,
102,11/26/19 06:50:00 AM,2.450,,,,,
103,11/26/19 07:00:00 AM,2.450,,,,,
104,11/26/19 07:10:00 AM,2.423,,,,,
105,11/26/19 07:20:00 AM,2.396,,,,,
106,11/26/19 07:30:00 AM,2.396,,,,,
107,11/26/19 07:40:00 AM,2.370,,,,,
108,11/26/19 07:50:00 AM,2.370,,,,,
109,11/26/19 08:00:00 AM,2.370,,,,,
110,11/26/19 08:10:00 AM,2.343,,,,,
111,11/26/19 08:20:00 AM,2.316,,,,,
