"Plot Title: HuntingonRiver_ByBridge"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20016014, SEN S/N: 20016014)","Coupler Detached (LGR S/N: 20016014)","Coupler Attached (LGR S/N: 20016014)","Host Connected (LGR S/N: 20016014)","End Of File (LGR S/N: 20016014)"
1,09/22/21 07:00:00 PM,21.819,Logged,,,
2,09/22/21 08:00:00 PM,22.250,,,,
3,09/22/21 09:00:00 PM,21.963,,,,
4,09/22/21 10:00:00 PM,21.318,,,,
5,09/22/21 11:00:00 PM,21.008,,,,
6,09/23/21 12:00:00 AM,21.533,,,,
7,09/23/21 01:00:00 AM,21.795,,,,
8,09/23/21 02:00:00 AM,21.939,,,,
9,09/23/21 03:00:00 AM,21.987,,,,
10,09/23/21 04:00:00 AM,21.987,,,,
11,09/23/21 05:00:00 AM,21.987,,,,
12,09/23/21 06:00:00 AM,22.011,,,,
13,09/23/21 07:00:00 AM,22.082,,,,
14,09/23/21 08:00:00 AM,22.130,,,,
15,09/23/21 09:00:00 AM,22.154,,,,
16,09/23/21 10:00:00 AM,21.915,,,,
17,09/23/21 11:00:00 AM,21.867,,,,
18,09/23/21 12:00:00 PM,21.867,,,,
19,09/23/21 01:00:00 PM,21.795,,,,
20,09/23/21 02:00:00 PM,21.700,,,,
21,09/23/21 03:00:00 PM,21.509,,,,
22,09/23/21 04:00:00 PM,21.342,,,,
23,09/23/21 05:00:00 PM,21.175,,,,
24,09/23/21 06:00:00 PM,20.984,,,,
25,09/23/21 07:00:00 PM,20.936,,,,
26,09/23/21 08:00:00 PM,20.889,,,,
27,09/23/21 09:00:00 PM,21.008,,,,
28,09/23/21 10:00:00 PM,20.913,,,,
29,09/23/21 11:00:00 PM,21.079,,,,
30,09/24/21 12:00:00 AM,21.485,,,,
31,09/24/21 01:00:00 AM,21.772,,,,
32,09/24/21 02:00:00 AM,21.963,,,,
33,09/24/21 03:00:00 AM,22.082,,,,
34,09/24/21 04:00:00 AM,22.178,,,,
35,09/24/21 05:00:00 AM,22.250,,,,
36,09/24/21 06:00:00 AM,22.298,,,,
37,09/24/21 07:00:00 AM,22.369,,,,
38,09/24/21 08:00:00 AM,22.417,,,,
39,09/24/21 09:00:00 AM,22.393,,,,
40,09/24/21 10:00:00 AM,22.058,,,,
41,09/24/21 11:00:00 AM,22.082,,,,
42,09/24/21 12:00:00 PM,21.915,,,,
43,09/24/21 01:00:00 PM,21.843,,,,
44,09/24/21 02:00:00 PM,21.557,,,,
45,09/24/21 03:00:00 PM,21.700,,,,
46,09/24/21 04:00:00 PM,21.628,,,,
47,09/24/21 05:00:00 PM,21.557,,,,
48,09/24/21 06:00:00 PM,21.509,,,,
49,09/24/21 07:00:00 PM,30.950,,,,
50,09/24/21 08:00:00 PM,27.358,,,,
51,09/24/21 09:00:00 PM,19.341,,,,
52,09/24/21 10:00:00 PM,19.175,,,,
53,09/24/21 11:00:00 PM,18.937,,,,
54,09/25/21 12:00:00 AM,18.604,,,,
55,09/25/21 01:00:00 AM,18.200,,,,
56,09/25/21 02:00:00 AM,17.772,,,,
57,09/25/21 03:00:00 AM,17.415,,,,
58,09/25/21 04:00:00 AM,17.082,,,,
59,09/25/21 05:00:00 AM,16.749,,,,
60,09/25/21 06:00:00 AM,16.415,,,,
61,09/25/21 07:00:00 AM,16.106,,,,
62,09/25/21 08:00:00 AM,15.772,,,,
63,09/25/21 09:00:00 AM,15.485,,,,
64,09/25/21 10:00:00 AM,15.175,,,,
65,09/25/21 11:00:00 AM,14.864,,,,
66,09/25/21 12:00:00 PM,14.649,,,,
67,09/25/21 01:00:00 PM,14.553,,,,
68,09/25/21 02:00:00 PM,14.601,,,,
69,09/25/21 03:00:00 PM,14.768,,,,
70,09/25/21 04:00:00 PM,15.127,,,,
71,09/25/21 05:00:00 PM,15.438,,,,
72,09/25/21 06:00:00 PM,16.058,,,,
73,09/25/21 07:00:00 PM,16.582,,,,
74,09/25/21 08:00:00 PM,16.796,,,,
75,09/25/21 09:00:00 PM,17.082,,,,
76,09/25/21 10:00:00 PM,17.249,,,,
77,09/25/21 11:00:00 PM,17.272,,,,
78,09/26/21 12:00:00 AM,17.272,,,,
79,09/26/21 01:00:00 AM,17.249,,,,
80,09/26/21 02:00:00 AM,17.177,,,,
81,09/26/21 03:00:00 AM,16.939,,,,
82,09/26/21 04:00:00 AM,16.654,,,,
83,09/26/21 05:00:00 AM,16.368,,,,
84,09/26/21 06:00:00 AM,16.106,,,,
85,09/26/21 07:00:00 AM,15.867,,,,
86,09/26/21 08:00:00 AM,15.676,,,,
87,09/26/21 09:00:00 AM,15.533,,,,
88,09/26/21 10:00:00 AM,15.342,,,,
89,09/26/21 11:00:00 AM,15.151,,,,
90,09/26/21 12:00:00 PM,15.031,,,,
91,09/26/21 01:00:00 PM,15.175,,,,
92,09/26/21 02:00:00 PM,15.366,,,,
93,09/26/21 03:00:00 PM,15.294,,,,
94,09/26/21 04:00:00 PM,15.867,,,,
95,09/26/21 05:00:00 PM,16.225,,,,
96,09/26/21 06:00:00 PM,16.439,,,,
97,09/26/21 07:00:00 PM,16.677,,,,
98,09/26/21 08:00:00 PM,16.534,,,,
99,09/26/21 09:00:00 PM,16.344,,,,
100,09/26/21 10:00:00 PM,16.463,,,,
101,09/26/21 11:00:00 PM,16.558,,,,
102,09/27/21 12:00:00 AM,16.654,,,,
103,09/27/21 01:00:00 AM,16.630,,,,
104,09/27/21 02:00:00 AM,16.463,,,,
105,09/27/21 03:00:00 AM,16.296,,,,
106,09/27/21 04:00:00 AM,16.058,,,,
107,09/27/21 05:00:00 AM,15.819,,,,
108,09/27/21 06:00:00 AM,15.605,,,,
109,09/27/21 07:00:00 AM,15.294,,,,
110,09/27/21 08:00:00 AM,14.960,,,,
111,09/27/21 09:00:00 AM,14.697,,,,
112,09/27/21 10:00:00 AM,14.505,,,,
113,09/27/21 11:00:00 AM,14.290,,,,
114,09/27/21 12:00:00 PM,14.218,,,,
115,09/27/21 01:00:00 PM,14.170,,,,
116,09/27/21 02:00:00 PM,14.122,,,,
117,09/27/21 03:00:00 PM,14.122,,,,
118,09/27/21 04:00:00 PM,14.170,,,,
