"Plot Title: Saranac_NetPen_1_2021_Pendant"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 21055066, SEN S/N: 21055066)","Intensity, Lux (LGR S/N: 21055066, SEN S/N: 21055066)","Coupler Attached (LGR S/N: 21055066)","Stopped (LGR S/N: 21055066)","End Of File (LGR S/N: 21055066)"
1,04/01/21 04:00:00 PM,18.616,0.0,,,
2,04/01/21 04:30:00 PM,20.615,0.0,,,
3,04/01/21 05:00:00 PM,21.091,0.0,,,
4,04/01/21 05:30:00 PM,21.187,0.0,,,
5,04/01/21 06:00:00 PM,21.282,0.0,,,
6,04/01/21 06:30:00 PM,21.282,0.0,,,
7,04/01/21 07:00:00 PM,21.282,0.0,,,
8,04/01/21 07:30:00 PM,21.282,0.0,,,
9,04/01/21 08:00:00 PM,21.378,0.0,,,
10,04/01/21 08:30:00 PM,21.473,0.0,,,
11,04/01/21 09:00:00 PM,21.378,0.0,,,
12,04/01/21 09:30:00 PM,21.378,0.0,,,
13,04/01/21 10:00:00 PM,21.378,0.0,,,
14,04/01/21 10:30:00 PM,21.473,0.0,,,
15,04/01/21 11:00:00 PM,21.473,0.0,,,
16,04/01/21 11:30:00 PM,21.378,0.0,,,
17,04/02/21 12:00:00 AM,21.282,0.0,,,
18,04/02/21 12:30:00 AM,21.187,0.0,,,
19,04/02/21 01:00:00 AM,21.091,0.0,,,
20,04/02/21 01:30:00 AM,20.996,0.0,,,
21,04/02/21 02:00:00 AM,20.805,0.0,,,
22,04/02/21 02:30:00 AM,20.615,0.0,,,
23,04/02/21 03:00:00 AM,20.424,0.0,,,
24,04/02/21 03:30:00 AM,20.329,0.0,,,
25,04/02/21 04:00:00 AM,20.138,0.0,,,
26,04/02/21 04:30:00 AM,20.043,0.0,,,
27,04/02/21 05:00:00 AM,19.853,0.0,,,
28,04/02/21 05:30:00 AM,19.758,0.0,,,
29,04/02/21 06:00:00 AM,19.567,0.0,,,
30,04/02/21 06:30:00 AM,19.472,0.0,,,
31,04/02/21 07:00:00 AM,19.567,0.0,,,
32,04/02/21 07:30:00 AM,19.758,0.0,,,
33,04/02/21 08:00:00 AM,19.948,0.0,,,
34,04/02/21 08:30:00 AM,20.234,0.0,,,
35,04/02/21 09:00:00 AM,20.424,0.0,,,
36,04/02/21 09:30:00 AM,20.710,0.0,,,
37,04/02/21 10:00:00 AM,21.091,0.0,,,
38,04/02/21 10:30:00 AM,21.187,0.0,,,
39,04/02/21 11:00:00 AM,21.378,0.0,,,
40,04/02/21 11:30:00 AM,14.613,0.0,,,
41,04/02/21 12:00:00 PM,15.664,0.0,,,
42,04/02/21 12:30:00 PM,17.284,0.0,,,
43,04/02/21 01:00:00 PM,14.804,0.0,,,
44,04/02/21 01:30:00 PM,15.951,0.0,,,
45,04/02/21 02:00:00 PM,4.207,46844.8,,,
46,04/02/21 02:30:00 PM,2.943,17222.3,,,
47,04/02/21 03:00:00 PM,0.674,20666.8,,,
48,04/02/21 03:30:00 PM,4.727,71644.9,,,
49,04/02/21 04:00:00 PM,5.141,42711.4,,,
50,04/02/21 04:30:00 PM,9.768,77156.1,,,
51,04/02/21 05:00:00 PM,4.102,22044.6,,,
52,04/02/21 05:30:00 PM,4.519,16533.4,,,
53,04/02/21 06:00:00 PM,3.472,16533.4,,,
54,04/02/21 06:30:00 PM,6.166,16533.4,,,
55,04/02/21 07:00:00 PM,5.962,17222.3,,,
56,04/02/21 07:30:00 PM,7.481,14466.8,,,
57,04/02/21 08:00:00 PM,4.727,10677.8,,,
58,04/02/21 08:30:00 PM,5.962,14466.8,,,
59,04/02/21 09:00:00 PM,6.674,9300.1,,,
60,04/02/21 09:30:00 PM,4.102,3788.9,,,
61,04/02/21 10:00:00 PM,3.261,2583.4,,,
62,04/02/21 10:30:00 PM,4.102,2755.6,,,
63,04/02/21 11:00:00 PM,3.261,2927.8,,,
64,04/02/21 11:30:00 PM,1.656,86.1,,,
65,04/03/21 12:00:00 AM,1.112,0.0,,,
66,04/03/21 12:30:00 AM,0.563,0.0,,,
67,04/03/21 01:00:00 AM,0.453,0.0,,,
68,04/03/21 01:30:00 AM,0.343,0.0,,,
69,04/03/21 02:00:00 AM,0.232,0.0,,,
70,04/03/21 02:30:00 AM,0.232,0.0,,,
