"Plot Title: HoopNet_2021_Saranac"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20571737, SEN S/N: 20571737)","Coupler Detached (LGR S/N: 20571737)","Coupler Attached (LGR S/N: 20571737)","Host Connected (LGR S/N: 20571737)","Stopped (LGR S/N: 20571737)","End Of File (LGR S/N: 20571737)"
1,09/27/21 08:00:00 PM,22.920,Logged,,,,
2,09/27/21 09:00:00 PM,21.294,,,,,
3,09/27/21 10:00:00 PM,21.175,,,,,
4,09/27/21 11:00:00 PM,21.151,,,,,
5,09/28/21 12:00:00 AM,21.246,,,,,
6,09/28/21 01:00:00 AM,21.294,,,,,
7,09/28/21 02:00:00 AM,21.294,,,,,
8,09/28/21 03:00:00 AM,21.318,,,,,
9,09/28/21 04:00:00 AM,21.318,,,,,
10,09/28/21 05:00:00 AM,21.318,,,,,
11,09/28/21 06:00:00 AM,21.294,,,,,
12,09/28/21 07:00:00 AM,21.270,,,,,
13,09/28/21 08:00:00 AM,21.246,,,,,
14,09/28/21 09:00:00 AM,21.223,,,,,
15,09/28/21 10:00:00 AM,21.223,,,,,
16,09/28/21 11:00:00 AM,21.294,,,,,
17,09/28/21 12:00:00 PM,15.151,,,,,
18,09/28/21 01:00:00 PM,17.130,,,,,
19,09/28/21 02:00:00 PM,15.533,,,,,
20,09/28/21 03:00:00 PM,16.511,,,,,
21,09/28/21 04:00:00 PM,16.630,,,,,
22,09/28/21 05:00:00 PM,16.820,,,,,
23,09/28/21 06:00:00 PM,17.011,,,,,
24,09/28/21 07:00:00 PM,17.034,,,,,
25,09/28/21 08:00:00 PM,17.058,,,,,
26,09/28/21 09:00:00 PM,17.082,,,,,
27,09/28/21 10:00:00 PM,17.106,,,,,
28,09/28/21 11:00:00 PM,17.034,,,,,
29,09/29/21 12:00:00 AM,16.987,,,,,
30,09/29/21 01:00:00 AM,16.915,,,,,
31,09/29/21 02:00:00 AM,16.796,,,,,
32,09/29/21 03:00:00 AM,16.725,,,,,
33,09/29/21 04:00:00 AM,16.701,,,,,
34,09/29/21 05:00:00 AM,16.701,,,,,
35,09/29/21 06:00:00 AM,16.677,,,,,
36,09/29/21 07:00:00 AM,16.439,,,,,
37,09/29/21 08:00:00 AM,16.058,,,,,
38,09/29/21 09:00:00 AM,15.652,,,,,
39,09/29/21 10:00:00 AM,15.581,,,,,
40,09/29/21 11:00:00 AM,15.605,,,,,
41,09/29/21 12:00:00 PM,15.629,,,,,
42,09/29/21 01:00:00 PM,15.342,,,,,
43,09/29/21 02:00:00 PM,15.509,,,,,
44,09/29/21 03:00:00 PM,15.509,,,,,
45,09/29/21 04:00:00 PM,15.461,,,,,
46,09/29/21 05:00:00 PM,15.438,,,,,
47,09/29/21 06:00:00 PM,15.414,,,,,
48,09/29/21 07:00:00 PM,15.438,,,,,
49,09/29/21 08:00:00 PM,15.342,,,,,
50,09/29/21 09:00:00 PM,15.270,,,,,
51,09/29/21 10:00:00 PM,15.199,,,,,
52,09/29/21 11:00:00 PM,15.127,,,,,
53,09/30/21 12:00:00 AM,15.055,,,,,
54,09/30/21 01:00:00 AM,14.984,,,,,
55,09/30/21 02:00:00 AM,14.912,,,,,
