"Plot Title: Saranac_River_Site2_2021_Pendant"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10473037, SEN S/N: 10473037)","Intensity, Lux (LGR S/N: 10473037, SEN S/N: 10473037)","Coupler Attached (LGR S/N: 10473037)","Host Connected (LGR S/N: 10473037)","End Of File (LGR S/N: 10473037)"
1,04/01/21 03:00:00 PM,22.525,10.8,,,
2,04/01/21 03:30:00 PM,22.046,0.0,,,
3,04/01/21 04:00:00 PM,20.138,86.1,,,
4,04/01/21 04:30:00 PM,16.427,43.1,,,
5,04/01/21 05:00:00 PM,16.332,21.5,,,
6,04/01/21 05:30:00 PM,16.713,10.8,,,
7,04/01/21 06:00:00 PM,16.808,43.1,,,
8,04/01/21 06:30:00 PM,16.618,21.5,,,
9,04/01/21 07:00:00 PM,16.903,21.5,,,
10,04/01/21 07:30:00 PM,16.903,32.3,,,
11,04/01/21 08:00:00 PM,16.999,43.1,,,
12,04/01/21 08:30:00 PM,15.378,32.3,,,
13,04/01/21 09:00:00 PM,16.523,10.8,,,
14,04/01/21 09:30:00 PM,16.808,10.8,,,
15,04/01/21 10:00:00 PM,16.903,0.0,,,
16,04/01/21 10:30:00 PM,16.903,0.0,,,
17,04/01/21 11:00:00 PM,16.903,0.0,,,
18,04/01/21 11:30:00 PM,17.094,0.0,,,
19,04/02/21 12:00:00 AM,16.999,0.0,,,
20,04/02/21 12:30:00 AM,16.999,0.0,,,
21,04/02/21 01:00:00 AM,16.999,0.0,,,
22,04/02/21 01:30:00 AM,16.999,0.0,,,
23,04/02/21 02:00:00 AM,16.903,0.0,,,
24,04/02/21 02:30:00 AM,16.903,0.0,,,
25,04/02/21 03:00:00 AM,16.903,0.0,,,
26,04/02/21 03:30:00 AM,16.903,0.0,,,
27,04/02/21 04:00:00 AM,16.808,0.0,,,
28,04/02/21 04:30:00 AM,16.808,0.0,,,
29,04/02/21 05:00:00 AM,16.713,0.0,,,
30,04/02/21 05:30:00 AM,16.713,0.0,,,
31,04/02/21 06:00:00 AM,16.713,0.0,,,
32,04/02/21 06:30:00 AM,16.713,0.0,,,
33,04/02/21 07:00:00 AM,16.713,0.0,,,
34,04/02/21 07:30:00 AM,16.618,0.0,,,
35,04/02/21 08:00:00 AM,16.618,0.0,,,
36,04/02/21 08:30:00 AM,16.618,0.0,,,
37,04/02/21 09:00:00 AM,16.523,0.0,,,
38,04/02/21 09:30:00 AM,16.523,0.0,,,
39,04/02/21 10:00:00 AM,16.523,0.0,,,
40,04/02/21 10:30:00 AM,16.523,0.0,,,
41,04/02/21 11:00:00 AM,16.523,0.0,,,
42,04/02/21 11:30:00 AM,9.571,0.0,,,
43,04/02/21 12:00:00 PM,9.866,0.0,,,
