"Plot Title: Win_Mouth"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10816968, SEN S/N: 10816968)","Coupler Detached (LGR S/N: 10816968)","Coupler Attached (LGR S/N: 10816968)","Host Connected (LGR S/N: 10816968)","End Of File (LGR S/N: 10816968)"
1,04/12/21 02:00:00 PM,26.793,Logged,,,
2,04/12/21 03:00:00 PM,22.657,,,,
3,04/12/21 04:00:00 PM,23.713,,,,
4,04/12/21 05:00:00 PM,25.089,,,,
5,04/12/21 06:00:00 PM,25.671,,,,
6,04/12/21 07:00:00 PM,22.944,,,,
7,04/12/21 08:00:00 PM,22.513,,,,
8,04/12/21 09:00:00 PM,20.841,,,,
9,04/12/21 10:00:00 PM,19.555,,,,
10,04/12/21 11:00:00 PM,19.318,,,,
11,04/13/21 12:00:00 AM,13.112,,,,
12,04/13/21 01:00:00 AM,12.847,,,,
13,04/13/21 02:00:00 AM,12.751,,,,
14,04/13/21 03:00:00 AM,12.654,,,,
15,04/13/21 04:00:00 AM,12.558,,,,
16,04/13/21 05:00:00 AM,12.509,,,,
17,04/13/21 06:00:00 AM,12.461,,,,
18,04/13/21 07:00:00 AM,12.461,,,,
19,04/13/21 08:00:00 AM,12.461,,,,
20,04/13/21 09:00:00 AM,12.461,,,,
21,04/13/21 10:00:00 AM,12.461,,,,
22,04/13/21 11:00:00 AM,12.461,,,,
23,04/13/21 12:00:00 PM,12.413,,,,
24,04/13/21 01:00:00 PM,12.389,,,,
25,04/13/21 02:00:00 PM,12.389,,,,
26,04/13/21 03:00:00 PM,12.485,,,,
27,04/13/21 04:00:00 PM,12.630,,,,
28,04/13/21 05:00:00 PM,12.847,,,,
29,04/13/21 06:00:00 PM,13.064,,,,
30,04/13/21 07:00:00 PM,13.185,,,,
31,04/13/21 08:00:00 PM,13.353,,,,
32,04/13/21 09:00:00 PM,13.449,,,,
33,04/13/21 10:00:00 PM,13.522,,,,
34,04/13/21 11:00:00 PM,13.473,,,,
35,04/14/21 12:00:00 AM,13.425,,,,
36,04/14/21 01:00:00 AM,13.281,,,,
37,04/14/21 02:00:00 AM,13.137,,,,
38,04/14/21 03:00:00 AM,13.016,,,,
39,04/14/21 04:00:00 AM,12.896,,,,
40,04/14/21 05:00:00 AM,12.847,,,,
41,04/14/21 06:00:00 AM,12.799,,,,
42,04/14/21 07:00:00 AM,12.751,,,,
43,04/14/21 08:00:00 AM,12.703,,,,
44,04/14/21 09:00:00 AM,12.678,,,,
45,04/14/21 10:00:00 AM,12.654,,,,
46,04/14/21 11:00:00 AM,12.654,,,,
47,04/14/21 12:00:00 PM,12.678,,,,
48,04/14/21 01:00:00 PM,12.727,,,,
49,04/14/21 02:00:00 PM,12.775,,,,
50,04/14/21 03:00:00 PM,12.871,,,,
51,04/14/21 04:00:00 PM,12.992,,,,
52,04/14/21 05:00:00 PM,13.137,,,,
53,04/14/21 06:00:00 PM,13.257,,,,
54,04/14/21 07:00:00 PM,13.329,,,,
55,04/14/21 08:00:00 PM,13.425,,,,
56,04/14/21 09:00:00 PM,13.497,,,,
57,04/14/21 10:00:00 PM,13.546,,,,
58,04/14/21 11:00:00 PM,13.594,,,,
59,04/15/21 12:00:00 AM,13.618,,,,
60,04/15/21 01:00:00 AM,13.618,,,,
61,04/15/21 02:00:00 AM,13.594,,,,
62,04/15/21 03:00:00 AM,13.546,,,,
63,04/15/21 04:00:00 AM,13.473,,,,
64,04/15/21 05:00:00 AM,13.425,,,,
65,04/15/21 06:00:00 AM,13.329,,,,
66,04/15/21 07:00:00 AM,13.281,,,,
67,04/15/21 08:00:00 AM,13.185,,,,
68,04/15/21 09:00:00 AM,13.088,,,,
69,04/15/21 10:00:00 AM,13.016,,,,
70,04/15/21 11:00:00 AM,12.944,,,,
71,04/15/21 12:00:00 PM,12.920,,,,
72,04/15/21 01:00:00 PM,12.944,,,,
73,04/15/21 02:00:00 PM,12.920,,,,
74,04/15/21 03:00:00 PM,12.968,,,,
75,04/15/21 04:00:00 PM,12.992,,,,
76,04/15/21 05:00:00 PM,13.040,,,,
77,04/15/21 06:00:00 PM,13.040,,,,
78,04/15/21 07:00:00 PM,13.016,,,,
79,04/15/21 08:00:00 PM,12.968,,,,
80,04/15/21 09:00:00 PM,12.871,,,,
81,04/15/21 10:00:00 PM,12.775,,,,
82,04/15/21 11:00:00 PM,12.678,,,,
83,04/16/21 12:00:00 AM,12.654,,,,
84,04/16/21 01:00:00 AM,12.630,,,,
85,04/16/21 02:00:00 AM,12.678,,,,
86,04/16/21 03:00:00 AM,12.703,,,,
87,04/16/21 04:00:00 AM,12.751,,,,
88,04/16/21 05:00:00 AM,12.703,,,,
89,04/16/21 06:00:00 AM,12.630,,,,
90,04/16/21 07:00:00 AM,12.485,,,,
91,04/16/21 08:00:00 AM,12.364,,,,
