"Plot Title: Win_Ethan_Allen_Park"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20571737, SEN S/N: 20571737)","Coupler Detached (LGR S/N: 20571737)","Coupler Attached (LGR S/N: 20571737)","Stopped (LGR S/N: 20571737)","End Of File (LGR S/N: 20571737)"
1,04/12/21 02:00:00 PM,26.109,Logged,,,
2,04/12/21 03:00:00 PM,21.748,,,,
3,04/12/21 04:00:00 PM,23.208,,,,
4,04/12/21 05:00:00 PM,24.750,,,,
5,04/12/21 06:00:00 PM,25.525,,,,
6,04/12/21 07:00:00 PM,21.700,,,,
7,04/12/21 08:00:00 PM,21.819,,,,
8,04/12/21 09:00:00 PM,21.557,,,,
9,04/12/21 10:00:00 PM,13.137,,,,
10,04/12/21 11:00:00 PM,12.654,,,,
11,04/13/21 12:00:00 AM,12.606,,,,
12,04/13/21 01:00:00 AM,12.606,,,,
13,04/13/21 02:00:00 AM,12.630,,,,
14,04/13/21 03:00:00 AM,12.654,,,,
15,04/13/21 04:00:00 AM,12.630,,,,
16,04/13/21 05:00:00 AM,12.558,,,,
17,04/13/21 06:00:00 AM,12.413,,,,
18,04/13/21 07:00:00 AM,12.268,,,,
19,04/13/21 08:00:00 AM,12.098,,,,
20,04/13/21 09:00:00 AM,11.929,,,,
21,04/13/21 10:00:00 AM,11.783,,,,
22,04/13/21 11:00:00 AM,11.637,,,,
23,04/13/21 12:00:00 PM,11.540,,,,
24,04/13/21 01:00:00 PM,11.516,,,,
25,04/13/21 02:00:00 PM,11.540,,,,
26,04/13/21 03:00:00 PM,11.662,,,,
27,04/13/21 04:00:00 PM,11.880,,,,
28,04/13/21 05:00:00 PM,12.147,,,,
29,04/13/21 06:00:00 PM,12.413,,,,
30,04/13/21 07:00:00 PM,12.678,,,,
31,04/13/21 08:00:00 PM,12.871,,,,
32,04/13/21 09:00:00 PM,12.968,,,,
33,04/13/21 10:00:00 PM,12.992,,,,
34,04/13/21 11:00:00 PM,12.920,,,,
35,04/14/21 12:00:00 AM,12.799,,,,
36,04/14/21 01:00:00 AM,12.751,,,,
37,04/14/21 02:00:00 AM,12.751,,,,
38,04/14/21 03:00:00 AM,12.823,,,,
39,04/14/21 04:00:00 AM,12.896,,,,
40,04/14/21 05:00:00 AM,12.968,,,,
41,04/14/21 06:00:00 AM,13.016,,,,
42,04/14/21 07:00:00 AM,12.992,,,,
