"Plot Title: Win_Ethan_Allen_Park"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20571737, SEN S/N: 20571737)","Coupler Detached (LGR S/N: 20571737)","Coupler Attached (LGR S/N: 20571737)","Host Connected (LGR S/N: 20571737)","Stopped (LGR S/N: 20571737)","End Of File (LGR S/N: 20571737)"
1,06/07/21 11:00:00 PM,27.628,Logged,,,,
2,06/08/21 12:00:00 AM,27.998,,,,,
3,06/08/21 01:00:00 AM,28.766,,,,,
4,06/08/21 02:00:00 AM,28.717,,,,,
5,06/08/21 03:00:00 AM,28.518,,,,,
6,06/08/21 04:00:00 AM,27.751,,,,,
7,06/08/21 05:00:00 AM,27.038,,,,,
8,06/08/21 06:00:00 AM,26.304,,,,,
9,06/08/21 07:00:00 AM,25.598,,,,,
10,06/08/21 08:00:00 AM,25.016,,,,,
11,06/08/21 09:00:00 AM,24.436,,,,,
12,06/08/21 10:00:00 AM,24.074,,,,,
13,06/08/21 11:00:00 AM,24.098,,,,,
14,06/08/21 12:00:00 PM,23.809,,,,,
15,06/08/21 01:00:00 PM,23.737,,,,,
16,06/08/21 02:00:00 PM,23.737,,,,,
17,06/08/21 03:00:00 PM,23.785,,,,,
18,06/08/21 04:00:00 PM,23.881,,,,,
19,06/08/21 05:00:00 PM,24.050,,,,,
20,06/08/21 06:00:00 PM,24.219,,,,,
21,06/08/21 07:00:00 PM,24.460,,,,,
22,06/08/21 08:00:00 PM,24.677,,,,,
23,06/08/21 09:00:00 PM,24.919,,,,,
24,06/08/21 10:00:00 PM,25.089,,,,,
25,06/08/21 11:00:00 PM,25.186,,,,,
26,06/09/21 12:00:00 AM,25.283,,,,,
27,06/09/21 01:00:00 AM,25.380,,,,,
28,06/09/21 02:00:00 AM,25.404,,,,,
29,06/09/21 03:00:00 AM,25.428,,,,,
30,06/09/21 04:00:00 AM,25.477,,,,,
31,06/09/21 05:00:00 AM,25.453,,,,,
32,06/09/21 06:00:00 AM,25.453,,,,,
33,06/09/21 07:00:00 AM,25.428,,,,,
34,06/09/21 08:00:00 AM,25.355,,,,,
35,06/09/21 09:00:00 AM,25.234,,,,,
36,06/09/21 10:00:00 AM,25.065,,,,,
37,06/09/21 11:00:00 AM,24.919,,,,,
38,06/09/21 12:00:00 PM,24.798,,,,,
39,06/09/21 01:00:00 PM,24.750,,,,,
40,06/09/21 02:00:00 PM,24.726,,,,,
41,06/09/21 03:00:00 PM,24.702,,,,,
42,06/09/21 04:00:00 PM,24.992,,,,,
