"Plot Title: WR_GreyHouse_20210101"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20571732, SEN S/N: 20571732)","Coupler Detached (LGR S/N: 20571732)","Coupler Attached (LGR S/N: 20571732)","Host Connected (LGR S/N: 20571732)","Stopped (LGR S/N: 20571732)","End Of File (LGR S/N: 20571732)"
1,11/19/20 08:00:00 AM,20.317,Logged,,,,
2,11/19/20 09:00:00 AM,20.365,,,,,
3,11/19/20 10:00:00 AM,20.460,,,,,
4,11/19/20 11:00:00 AM,20.555,,,,,
5,11/19/20 12:00:00 PM,20.698,,,,,
6,11/19/20 01:00:00 PM,21.246,,,,,
7,11/19/20 02:00:00 PM,6.484,,,,,
8,11/19/20 03:00:00 PM,4.194,,,,,
9,11/19/20 04:00:00 PM,3.985,,,,,
10,11/19/20 05:00:00 PM,4.584,,,,,
11,11/19/20 06:00:00 PM,8.319,,,,,
12,11/19/20 07:00:00 PM,2.450,,,,,
13,11/19/20 08:00:00 PM,2.503,,,,,
14,11/19/20 09:00:00 PM,2.477,,,,,
15,11/19/20 10:00:00 PM,2.343,,,,,
16,11/19/20 11:00:00 PM,2.262,,,,,
17,11/20/20 12:00:00 AM,2.262,,,,,
18,11/20/20 01:00:00 AM,2.236,,,,,
19,11/20/20 02:00:00 AM,2.236,,,,,
20,11/20/20 03:00:00 AM,2.262,,,,,
21,11/20/20 04:00:00 AM,2.289,,,,,
22,11/20/20 05:00:00 AM,2.262,,,,,
23,11/20/20 06:00:00 AM,2.289,,,,,
24,11/20/20 07:00:00 AM,2.316,,,,,
25,11/20/20 08:00:00 AM,2.343,,,,,
26,11/20/20 09:00:00 AM,2.343,,,,,
27,11/20/20 10:00:00 AM,2.316,,,,,
28,11/20/20 11:00:00 AM,2.316,,,,,
29,11/20/20 12:00:00 PM,2.343,,,,,
30,11/20/20 01:00:00 PM,2.423,,,,,
31,11/20/20 02:00:00 PM,2.584,,,,,
32,11/20/20 03:00:00 PM,2.744,,,,,
33,11/20/20 04:00:00 PM,2.930,,,,,
34,11/20/20 05:00:00 PM,3.168,,,,,
35,11/20/20 06:00:00 PM,3.327,,,,,
36,11/20/20 07:00:00 PM,3.512,,,,,
37,11/20/20 08:00:00 PM,3.643,,,,,
38,11/20/20 09:00:00 PM,3.617,,,,,
39,11/20/20 10:00:00 PM,3.591,,,,,
40,11/20/20 11:00:00 PM,3.538,,,,,
41,11/21/20 12:00:00 AM,3.591,,,,,
42,11/21/20 01:00:00 AM,3.591,,,,,
43,11/21/20 02:00:00 AM,3.564,,,,,
