"Plot Title: Win_Above_Richmond"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10816964, SEN S/N: 10816964)","Coupler Detached (LGR S/N: 10816964)","Coupler Attached (LGR S/N: 10816964)","Host Connected (LGR S/N: 10816964)","End Of File (LGR S/N: 10816964)"
1,04/12/21 02:00:00 PM,24.484,Logged,,,
2,04/12/21 03:00:00 PM,22.489,,,,
3,04/12/21 04:00:00 PM,22.417,,,,
4,04/12/21 05:00:00 PM,22.393,,,,
5,04/12/21 06:00:00 PM,22.417,,,,
6,04/12/21 07:00:00 PM,22.489,,,,
7,04/12/21 08:00:00 PM,22.896,,,,
8,04/12/21 09:00:00 PM,22.585,,,,
9,04/12/21 10:00:00 PM,22.393,,,,
10,04/12/21 11:00:00 PM,22.298,,,,
11,04/13/21 12:00:00 AM,22.154,,,,
12,04/13/21 01:00:00 AM,22.034,,,,
13,04/13/21 02:00:00 AM,21.939,,,,
14,04/13/21 03:00:00 AM,21.819,,,,
15,04/13/21 04:00:00 AM,21.700,,,,
16,04/13/21 05:00:00 AM,21.557,,,,
17,04/13/21 06:00:00 AM,21.413,,,,
18,04/13/21 07:00:00 AM,21.270,,,,
19,04/13/21 08:00:00 AM,21.127,,,,
20,04/13/21 09:00:00 AM,21.318,,,,
21,04/13/21 10:00:00 AM,21.318,,,,
22,04/13/21 11:00:00 AM,21.724,,,,
23,04/13/21 12:00:00 PM,21.628,,,,
24,04/13/21 01:00:00 PM,21.915,,,,
25,04/13/21 02:00:00 PM,22.250,,,,
26,04/13/21 03:00:00 PM,22.417,,,,
27,04/13/21 04:00:00 PM,22.513,,,,
28,04/13/21 05:00:00 PM,22.513,,,,
29,04/13/21 06:00:00 PM,22.585,,,,
30,04/13/21 07:00:00 PM,22.681,,,,
31,04/13/21 08:00:00 PM,12.871,,,,
32,04/13/21 09:00:00 PM,11.832,,,,
33,04/13/21 10:00:00 PM,11.734,,,,
34,04/13/21 11:00:00 PM,11.492,,,,
35,04/14/21 12:00:00 AM,11.346,,,,
36,04/14/21 01:00:00 AM,11.200,,,,
37,04/14/21 02:00:00 AM,11.078,,,,
38,04/14/21 03:00:00 AM,11.005,,,,
39,04/14/21 04:00:00 AM,10.883,,,,
40,04/14/21 05:00:00 AM,10.736,,,,
41,04/14/21 06:00:00 AM,10.565,,,,
42,04/14/21 07:00:00 AM,10.369,,,,
43,04/14/21 08:00:00 AM,10.198,,,,
44,04/14/21 09:00:00 AM,10.051,,,,
45,04/14/21 10:00:00 AM,9.928,,,,
46,04/14/21 11:00:00 AM,9.854,,,,
47,04/14/21 12:00:00 PM,9.879,,,,
48,04/14/21 01:00:00 PM,9.952,,,,
49,04/14/21 02:00:00 PM,10.222,,,,
50,04/14/21 03:00:00 PM,10.712,,,,
51,04/14/21 04:00:00 PM,11.297,,,,
52,04/14/21 05:00:00 PM,11.880,,,,
53,04/14/21 06:00:00 PM,12.461,,,,
54,04/14/21 07:00:00 PM,12.775,,,,
55,04/14/21 08:00:00 PM,12.703,,,,
56,04/14/21 09:00:00 PM,12.630,,,,
57,04/14/21 10:00:00 PM,12.413,,,,
58,04/14/21 11:00:00 PM,12.243,,,,
59,04/15/21 12:00:00 AM,12.098,,,,
60,04/15/21 01:00:00 AM,12.001,,,,
61,04/15/21 02:00:00 AM,12.001,,,,
62,04/15/21 03:00:00 AM,11.977,,,,
63,04/15/21 04:00:00 AM,11.929,,,,
64,04/15/21 05:00:00 AM,11.783,,,,
