"Plot Title: Win_W1D"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10816965, SEN S/N: 10816965)","Coupler Detached (LGR S/N: 10816965)","Coupler Attached (LGR S/N: 10816965)","Host Connected (LGR S/N: 10816965)","End Of File (LGR S/N: 10816965)"
1,04/12/21 02:00:00 PM,26.842,Logged,,,
2,04/12/21 03:00:00 PM,22.441,,,,
3,04/12/21 04:00:00 PM,23.352,,,,
4,04/12/21 05:00:00 PM,25.477,,,,
5,04/12/21 06:00:00 PM,25.817,,,,
6,04/12/21 07:00:00 PM,12.678,,,,
7,04/12/21 08:00:00 PM,12.654,,,,
8,04/12/21 09:00:00 PM,12.727,,,,
9,04/12/21 10:00:00 PM,12.799,,,,
10,04/12/21 11:00:00 PM,12.823,,,,
11,04/13/21 12:00:00 AM,12.799,,,,
12,04/13/21 01:00:00 AM,12.727,,,,
13,04/13/21 02:00:00 AM,12.606,,,,
14,04/13/21 03:00:00 AM,12.437,,,,
15,04/13/21 04:00:00 AM,12.316,,,,
16,04/13/21 05:00:00 AM,12.147,,,,
17,04/13/21 06:00:00 AM,12.001,,,,
18,04/13/21 07:00:00 AM,11.904,,,,
19,04/13/21 08:00:00 AM,11.759,,,,
20,04/13/21 09:00:00 AM,11.589,,,,
21,04/13/21 10:00:00 AM,11.443,,,,
22,04/13/21 11:00:00 AM,11.321,,,,
23,04/13/21 12:00:00 PM,11.224,,,,
24,04/13/21 01:00:00 PM,11.297,,,,
25,04/13/21 02:00:00 PM,11.370,,,,
26,04/13/21 03:00:00 PM,11.540,,,,
27,04/13/21 04:00:00 PM,11.759,,,,
28,04/13/21 05:00:00 PM,11.977,,,,
29,04/13/21 06:00:00 PM,12.219,,,,
30,04/13/21 07:00:00 PM,12.413,,,,
31,04/13/21 08:00:00 PM,12.606,,,,
32,04/13/21 09:00:00 PM,12.775,,,,
33,04/13/21 10:00:00 PM,12.920,,,,
34,04/13/21 11:00:00 PM,13.088,,,,
35,04/14/21 12:00:00 AM,13.233,,,,
36,04/14/21 01:00:00 AM,13.329,,,,
37,04/14/21 02:00:00 AM,13.329,,,,
38,04/14/21 03:00:00 AM,13.233,,,,
39,04/14/21 04:00:00 AM,13.088,,,,
40,04/14/21 05:00:00 AM,12.920,,,,
41,04/14/21 06:00:00 AM,12.703,,,,
42,04/14/21 07:00:00 AM,12.485,,,,
43,04/14/21 08:00:00 AM,12.292,,,,
44,04/14/21 09:00:00 AM,12.122,,,,
45,04/14/21 10:00:00 AM,11.977,,,,
46,04/14/21 11:00:00 AM,11.832,,,,
47,04/14/21 12:00:00 PM,11.783,,,,
48,04/14/21 01:00:00 PM,11.759,,,,
49,04/14/21 02:00:00 PM,11.880,,,,
50,04/14/21 03:00:00 PM,12.074,,,,
51,04/14/21 04:00:00 PM,12.292,,,,
52,04/14/21 05:00:00 PM,12.558,,,,
53,04/14/21 06:00:00 PM,12.775,,,,
54,04/14/21 07:00:00 PM,12.968,,,,
55,04/14/21 08:00:00 PM,13.112,,,,
56,04/14/21 09:00:00 PM,13.040,,,,
57,04/14/21 10:00:00 PM,13.064,,,,
58,04/14/21 11:00:00 PM,13.137,,,,
59,04/15/21 12:00:00 AM,13.281,,,,
60,04/15/21 01:00:00 AM,13.473,,,,
61,04/15/21 02:00:00 AM,13.594,,,,
62,04/15/21 03:00:00 AM,13.618,,,,
63,04/15/21 04:00:00 AM,13.618,,,,
64,04/15/21 05:00:00 AM,13.497,,,,
65,04/15/21 06:00:00 AM,13.329,,,,
66,04/15/21 07:00:00 AM,13.088,,,,
67,04/15/21 08:00:00 AM,12.847,,,,
68,04/15/21 09:00:00 AM,12.654,,,,
69,04/15/21 10:00:00 AM,12.534,,,,
70,04/15/21 11:00:00 AM,12.437,,,,
71,04/15/21 12:00:00 PM,12.413,,,,
72,04/15/21 01:00:00 PM,12.389,,,,
73,04/15/21 02:00:00 PM,12.364,,,,
74,04/15/21 03:00:00 PM,12.316,,,,
75,04/15/21 04:00:00 PM,12.316,,,,
76,04/15/21 05:00:00 PM,12.340,,,,
77,04/15/21 06:00:00 PM,12.340,,,,
78,04/15/21 07:00:00 PM,12.364,,,,
79,04/15/21 08:00:00 PM,12.389,,,,
80,04/15/21 09:00:00 PM,12.389,,,,
81,04/15/21 10:00:00 PM,12.389,,,,
82,04/15/21 11:00:00 PM,12.389,,,,
83,04/16/21 12:00:00 AM,12.316,,,,
84,04/16/21 01:00:00 AM,12.316,,,,
85,04/16/21 02:00:00 AM,12.268,,,,
86,04/16/21 03:00:00 AM,12.195,,,,
87,04/16/21 04:00:00 AM,12.098,,,,
88,04/16/21 05:00:00 AM,12.050,,,,
89,04/16/21 06:00:00 AM,11.904,,,,
90,04/16/21 07:00:00 AM,11.734,,,,
91,04/16/21 08:00:00 AM,11.540,,,,
92,04/16/21 09:00:00 AM,11.346,,,,
93,04/16/21 10:00:00 AM,11.175,,,,
94,04/16/21 11:00:00 AM,11.029,,,,
95,04/16/21 12:00:00 PM,10.907,,,,
96,04/16/21 01:00:00 PM,10.761,,,,
97,04/16/21 02:00:00 PM,10.638,,,,
98,04/16/21 03:00:00 PM,10.492,,,,
99,04/16/21 04:00:00 PM,10.369,,,,
100,04/16/21 05:00:00 PM,10.149,,,,
101,04/16/21 06:00:00 PM,10.075,,,,
102,04/16/21 07:00:00 PM,9.928,,,,
103,04/16/21 08:00:00 PM,9.829,,,,
104,04/16/21 09:00:00 PM,9.706,,,,
105,04/16/21 10:00:00 PM,9.558,,,,
106,04/16/21 11:00:00 PM,9.361,,,,
107,04/17/21 12:00:00 AM,9.089,,,,
108,04/17/21 01:00:00 AM,8.866,,,,
109,04/17/21 02:00:00 AM,8.693,,,,
110,04/17/21 03:00:00 AM,8.494,,,,
111,04/17/21 04:00:00 AM,8.295,,,,
112,04/17/21 05:00:00 AM,8.070,,,,
113,04/17/21 06:00:00 AM,7.895,,,,
114,04/17/21 07:00:00 AM,7.720,,,,
115,04/17/21 08:00:00 AM,7.544,,,,
116,04/17/21 09:00:00 AM,7.393,,,,
117,04/17/21 10:00:00 AM,7.242,,,,
118,04/17/21 11:00:00 AM,7.091,,,,
119,04/17/21 12:00:00 PM,6.965,,,,
120,04/17/21 01:00:00 PM,6.839,,,,
121,04/17/21 02:00:00 PM,6.763,,,,
122,04/17/21 03:00:00 PM,6.687,,,,
123,04/17/21 04:00:00 PM,6.585,,,,
124,04/17/21 05:00:00 PM,6.560,,,,
125,04/17/21 06:00:00 PM,6.535,,,,
126,04/17/21 07:00:00 PM,6.585,,,,
127,04/17/21 08:00:00 PM,6.509,,,,
128,04/17/21 09:00:00 PM,6.458,,,,
129,04/17/21 10:00:00 PM,6.458,,,,
130,04/17/21 11:00:00 PM,6.433,,,,
131,04/18/21 12:00:00 AM,6.408,,,,
132,04/18/21 01:00:00 AM,6.306,,,,
133,04/18/21 02:00:00 AM,6.230,,,,
134,04/18/21 03:00:00 AM,6.230,,,,
135,04/18/21 04:00:00 AM,6.179,,,,
136,04/18/21 05:00:00 AM,6.153,,,,
137,04/18/21 06:00:00 AM,6.153,,,,
138,04/18/21 07:00:00 AM,6.102,,,,
139,04/18/21 08:00:00 AM,6.077,,,,
140,04/18/21 09:00:00 AM,6.077,,,,
141,04/18/21 10:00:00 AM,6.026,,,,
142,04/18/21 11:00:00 AM,6.026,,,,
143,04/18/21 12:00:00 PM,6.026,,,,
144,04/18/21 01:00:00 PM,6.077,,,,
145,04/18/21 02:00:00 PM,6.153,,,,
146,04/18/21 03:00:00 PM,6.281,,,,
147,04/18/21 04:00:00 PM,6.484,,,,
148,04/18/21 05:00:00 PM,6.687,,,,
149,04/18/21 06:00:00 PM,6.813,,,,
150,04/18/21 07:00:00 PM,6.940,,,,
151,04/18/21 08:00:00 PM,7.268,,,,
152,04/18/21 09:00:00 PM,7.368,,,,
153,04/18/21 10:00:00 PM,7.444,,,,
154,04/18/21 11:00:00 PM,7.419,,,,
155,04/19/21 12:00:00 AM,7.444,,,,
156,04/19/21 01:00:00 AM,7.519,,,,
157,04/19/21 02:00:00 AM,7.594,,,,
158,04/19/21 03:00:00 AM,7.594,,,,
159,04/19/21 04:00:00 AM,7.569,,,,
160,04/19/21 05:00:00 AM,7.544,,,,
161,04/19/21 06:00:00 AM,7.544,,,,
162,04/19/21 07:00:00 AM,7.594,,,,
163,04/19/21 08:00:00 AM,7.645,,,,
164,04/19/21 09:00:00 AM,7.695,,,,
165,04/19/21 10:00:00 AM,7.770,,,,
166,04/19/21 11:00:00 AM,7.820,,,,
167,04/19/21 12:00:00 PM,7.895,,,,
168,04/19/21 01:00:00 PM,7.920,,,,
169,04/19/21 02:00:00 PM,7.995,,,,
170,04/19/21 03:00:00 PM,8.070,,,,
171,04/19/21 04:00:00 PM,8.170,,,,
172,04/19/21 05:00:00 PM,8.245,,,,
173,04/19/21 06:00:00 PM,8.419,,,,
174,04/19/21 07:00:00 PM,8.568,,,,
175,04/19/21 08:00:00 PM,8.742,,,,
176,04/19/21 09:00:00 PM,8.817,,,,
177,04/19/21 10:00:00 PM,8.792,,,,
178,04/19/21 11:00:00 PM,8.742,,,,
179,04/20/21 12:00:00 AM,8.792,,,,
180,04/20/21 01:00:00 AM,8.767,,,,
181,04/20/21 02:00:00 AM,8.643,,,,
182,04/20/21 03:00:00 AM,8.543,,,,
183,04/20/21 04:00:00 AM,8.519,,,,
184,04/20/21 05:00:00 AM,8.494,,,,
185,04/20/21 06:00:00 AM,8.519,,,,
186,04/20/21 07:00:00 AM,8.568,,,,
187,04/20/21 08:00:00 AM,8.643,,,,
188,04/20/21 09:00:00 AM,8.668,,,,
189,04/20/21 10:00:00 AM,8.618,,,,
190,04/20/21 11:00:00 AM,8.519,,,,
191,04/20/21 12:00:00 PM,8.394,,,,
192,04/20/21 01:00:00 PM,8.319,,,,
193,04/20/21 02:00:00 PM,8.295,,,,
194,04/20/21 03:00:00 PM,8.295,,,,
195,04/20/21 04:00:00 PM,8.295,,,,
196,04/20/21 05:00:00 PM,8.295,,,,
197,04/20/21 06:00:00 PM,8.319,,,,
198,04/20/21 07:00:00 PM,8.270,,,,
199,04/20/21 08:00:00 PM,8.295,,,,
200,04/20/21 09:00:00 PM,8.220,,,,
201,04/20/21 10:00:00 PM,8.170,,,,
202,04/20/21 11:00:00 PM,8.170,,,,
203,04/21/21 12:00:00 AM,8.145,,,,
204,04/21/21 01:00:00 AM,8.120,,,,
205,04/21/21 02:00:00 AM,8.020,,,,
206,04/21/21 03:00:00 AM,7.920,,,,
207,04/21/21 04:00:00 AM,7.820,,,,
208,04/21/21 05:00:00 AM,7.795,,,,
209,04/21/21 06:00:00 AM,7.745,,,,
210,04/21/21 07:00:00 AM,7.720,,,,
211,04/21/21 08:00:00 AM,7.670,,,,
212,04/21/21 09:00:00 AM,7.594,,,,
213,04/21/21 10:00:00 AM,7.544,,,,
214,04/21/21 11:00:00 AM,7.444,,,,
215,04/21/21 12:00:00 PM,7.393,,,,
216,04/21/21 01:00:00 PM,7.393,,,,
217,04/21/21 02:00:00 PM,7.368,,,,
218,04/21/21 03:00:00 PM,7.343,,,,
219,04/21/21 04:00:00 PM,7.343,,,,
220,04/21/21 05:00:00 PM,7.217,,,,
221,04/21/21 06:00:00 PM,7.091,,,,
222,04/21/21 07:00:00 PM,7.041,,,,
223,04/21/21 08:00:00 PM,6.940,,,,
224,04/21/21 09:00:00 PM,6.864,,,,
225,04/21/21 10:00:00 PM,6.813,,,,
226,04/21/21 11:00:00 PM,6.687,,,,
227,04/22/21 12:00:00 AM,6.585,,,,
228,04/22/21 01:00:00 AM,6.458,,,,
229,04/22/21 02:00:00 AM,6.331,,,,
230,04/22/21 03:00:00 AM,6.179,,,,
231,04/22/21 04:00:00 AM,6.077,,,,
232,04/22/21 05:00:00 AM,5.924,,,,
233,04/22/21 06:00:00 AM,5.796,,,,
234,04/22/21 07:00:00 AM,5.693,,,,
235,04/22/21 08:00:00 AM,5.591,,,,
236,04/22/21 09:00:00 AM,5.488,,,,
237,04/22/21 10:00:00 AM,5.360,,,,
238,04/22/21 11:00:00 AM,5.308,,,,
239,04/22/21 12:00:00 PM,5.257,,,,
240,04/22/21 01:00:00 PM,5.154,,,,
241,04/22/21 02:00:00 PM,5.179,,,,
242,04/22/21 03:00:00 PM,5.128,,,,
243,04/22/21 04:00:00 PM,5.102,,,,
244,04/22/21 05:00:00 PM,5.050,,,,
245,04/22/21 06:00:00 PM,4.999,,,,
246,04/22/21 07:00:00 PM,5.050,,,,
247,04/22/21 08:00:00 PM,5.024,,,,
248,04/22/21 09:00:00 PM,4.973,,,,
249,04/22/21 10:00:00 PM,4.921,,,,
250,04/22/21 11:00:00 PM,4.844,,,,
251,04/23/21 12:00:00 AM,4.792,,,,
252,04/23/21 01:00:00 AM,4.714,,,,
253,04/23/21 02:00:00 AM,4.636,,,,
254,04/23/21 03:00:00 AM,4.558,,,,
255,04/23/21 04:00:00 AM,4.480,,,,
256,04/23/21 05:00:00 AM,4.376,,,,
257,04/23/21 06:00:00 AM,4.272,,,,
258,04/23/21 07:00:00 AM,4.194,,,,
259,04/23/21 08:00:00 AM,4.168,,,,
260,04/23/21 09:00:00 AM,4.089,,,,
261,04/23/21 10:00:00 AM,4.037,,,,
262,04/23/21 11:00:00 AM,4.037,,,,
263,04/23/21 12:00:00 PM,4.063,,,,
264,04/23/21 01:00:00 PM,4.089,,,,
265,04/23/21 02:00:00 PM,4.220,,,,
266,04/23/21 03:00:00 PM,4.324,,,,
267,04/23/21 04:00:00 PM,4.532,,,,
268,04/23/21 05:00:00 PM,4.740,,,,
269,04/23/21 06:00:00 PM,4.895,,,,
270,04/23/21 07:00:00 PM,5.179,,,,
271,04/23/21 08:00:00 PM,5.308,,,,
272,04/23/21 09:00:00 PM,5.462,,,,
273,04/23/21 10:00:00 PM,5.642,,,,
274,04/23/21 11:00:00 PM,5.770,,,,
275,04/24/21 12:00:00 AM,5.821,,,,
276,04/24/21 01:00:00 AM,5.821,,,,
277,04/24/21 02:00:00 AM,5.847,,,,
278,04/24/21 03:00:00 AM,5.821,,,,
279,04/24/21 04:00:00 AM,5.796,,,,
280,04/24/21 05:00:00 AM,5.796,,,,
281,04/24/21 06:00:00 AM,5.796,,,,
282,04/24/21 07:00:00 AM,5.847,,,,
283,04/24/21 08:00:00 AM,5.949,,,,
284,04/24/21 09:00:00 AM,6.077,,,,
285,04/24/21 10:00:00 AM,6.128,,,,
286,04/24/21 11:00:00 AM,6.230,,,,
287,04/24/21 12:00:00 PM,6.433,,,,
288,04/24/21 01:00:00 PM,6.535,,,,
289,04/24/21 02:00:00 PM,6.636,,,,
290,04/24/21 03:00:00 PM,6.839,,,,
291,04/24/21 04:00:00 PM,7.066,,,,
292,04/24/21 05:00:00 PM,7.192,,,,
293,04/24/21 06:00:00 PM,7.393,,,,
294,04/24/21 07:00:00 PM,7.368,,,,
295,04/24/21 08:00:00 PM,7.544,,,,
296,04/24/21 09:00:00 PM,7.695,,,,
297,04/24/21 10:00:00 PM,7.795,,,,
298,04/24/21 11:00:00 PM,7.845,,,,
299,04/25/21 12:00:00 AM,7.720,,,,
300,04/25/21 01:00:00 AM,7.569,,,,
301,04/25/21 02:00:00 AM,7.469,,,,
302,04/25/21 03:00:00 AM,7.419,,,,
303,04/25/21 04:00:00 AM,7.444,,,,
304,04/25/21 05:00:00 AM,7.544,,,,
305,04/25/21 06:00:00 AM,7.619,,,,
306,04/25/21 07:00:00 AM,7.745,,,,
307,04/25/21 08:00:00 AM,7.845,,,,
308,04/25/21 09:00:00 AM,7.970,,,,
309,04/25/21 10:00:00 AM,8.145,,,,
310,04/25/21 11:00:00 AM,8.270,,,,
311,04/25/21 12:00:00 PM,8.295,,,,
312,04/25/21 01:00:00 PM,8.419,,,,
313,04/25/21 02:00:00 PM,8.543,,,,
314,04/25/21 03:00:00 PM,8.593,,,,
315,04/25/21 04:00:00 PM,8.568,,,,
316,04/25/21 05:00:00 PM,8.593,,,,
317,04/25/21 06:00:00 PM,8.593,,,,
